mode,model,subject,session,n_test,balanced_accuracy,accuracy,macro_f1,cohen_kappa
cross_subject,CSP+LDA,5,1test,135,0.5395604395604395,0.5555555555555556,0.44153337010479865,0.08163265306122447
cross_subject,CSP+LDA,6,0train,113,0.5446428571428571,0.5486725663716814,0.42742175856929954,0.09000473709142576
cross_subject,CSP+LDA,6,1test,108,0.5566037735849056,0.5648148148148148,0.4520133865918169,0.11506276150627626
cross_subject,CSP+LDA,7,0train,133,0.5762098597919494,0.5789473684210527,0.5128205128205128,0.15325147794452032
cross_subject,CSP+LDA,7,1test,140,0.6016533986527863,0.6071428571428571,0.5354449472096531,0.20553033429632683
cross_subject,CSP+LDA,8,0train,132,0.9166666666666667,0.9166666666666666,0.9162774606469468,0.8333333333333334
cross_subject,CSP+LDA,8,1test,134,0.9549910873440286,0.9552238805970149,0.9551839464882943,0.9103878733838608
cross_subject,CSP+LDA,9,0train,116,0.7657981431566337,0.7586206896551724,0.7585489146595301,0.5222124154162988
cross_subject,CSP+LDA,9,1test,130,0.5769230769230769,0.5769230769230769,0.5766976496359008,0.15384615384615385
cross_subject,CSP+linearSVM,1,0train,138,0.5217391304347826,0.5217391304347826,0.3906877174203907,0.04347826086956519
cross_subject,CSP+linearSVM,1,1test,141,0.55,0.5531914893617021,0.43725055432372506,0.10063784549964583
cross_subject,CSP+linearSVM,2,0train,136,0.5059485182781743,0.5,0.406418485237484,0.011754648429151526
cross_subject,CSP+linearSVM,2,1test,142,0.5352112676056338,0.5352112676056338,0.44214285714285717,0.07042253521126762
cross_subject,CSP+linearSVM,3,0train,137,0.5808823529411765,0.583941605839416,0.4930866601752678,0.1627532968800257
cross_subject,CSP+linearSVM,3,1test,137,0.85682302771855,0.8540145985401459,0.8522433132010354,0.709561161755353
cross_subject,CSP+linearSVM,4,0train,129,0.6202455464612422,0.6124031007751938,0.5996772591857,0.23650568181818188
cross_subject,CSP+linearSVM,4,1test,116,0.6015462384775498,0.603448275862069,0.5975867269984918,0.20381975529692642
cross_subject,CSP+linearSVM,5,0train,129,0.5717893217893217,0.5658914728682171,0.5392857142857143,0.1418389166072701
cross_subject,CSP+linearSVM,5,1test,135,0.5153846153846153,0.5333333333333333,0.37467833247555327,0.031872509960159445
cross_subject,CSP+linearSVM,6,0train,113,0.5446428571428571,0.5486725663716814,0.42742175856929954,0.09000473709142576
cross_subject,CSP+linearSVM,6,1test,108,0.5471698113207547,0.5555555555555556,0.434308162374509,0.09591907917683995
cross_subject,CSP+linearSVM,7,0train,133,0.5152645861601085,0.518796992481203,0.3795918367346939,0.030744705078569634
cross_subject,CSP+linearSVM,7,1test,140,0.5362318840579711,0.5428571428571428,0.4122277617423249,0.07342295760082751
cross_subject,CSP+linearSVM,8,0train,132,0.9166666666666667,0.9166666666666666,0.916431654676259,0.8333333333333334
cross_subject,CSP+linearSVM,8,1test,134,0.9549910873440286,0.9552238805970149,0.9551839464882943,0.9103878733838608
cross_subject,CSP+linearSVM,9,0train,116,0.7196765498652291,0.7068965517241379,0.704702006588799,0.42657749345740037
cross_subject,CSP+linearSVM,9,1test,130,0.5846153846153845,0.5846153846153846,0.5845170454545454,0.16923076923076918
within_session,CSP+LDA,1,0train,138,0.8768115942028986,0.8768115942028986,0.8762853978800822,0.7536231884057971
within_session,CSP+LDA,1,1test,141,0.9081488933601609,0.9078014184397163,0.9076341647770219,0.8157233336684427
within_session,CSP+LDA,2,0train,136,0.5519143413367943,0.5514705882352942,0.5512522312976686,0.10371650821089029
within_session,CSP+LDA,2,1test,142,0.5211267605633803,0.5211267605633803,0.52074647607703,0.04225352112676062
within_session,CSP+LDA,3,0train,137,0.9709079283887468,0.9708029197080292,0.9708013640238704,0.9416151715320691
within_session,CSP+LDA,3,1test,137,0.9850746268656716,0.9854014598540146,0.9853819889031157,0.9707702154896523
within_session,CSP+LDA,4,0train,129,0.7217140105922003,0.7209302325581395,0.7209134615384616,0.4423631123919308
within_session,CSP+LDA,4,1test,116,0.6468926553672316,0.646551724137931,0.6465254552211074,0.2935234699940582
within_session,CSP+LDA,5,0train,129,0.5808080808080809,0.5813953488372093,0.5807655272026961,0.16173285198555964
within_session,CSP+LDA,5,1test,135,0.610989010989011,0.6148148148148148,0.6086083853702051,0.22345132743362828
within_session,CSP+LDA,6,0train,113,0.6546052631578947,0.6548672566371682,0.654434250764526,0.309355900329102
within_session,CSP+LDA,6,1test,108,0.665180102915952,0.6666666666666666,0.663784157730889,0.3312693498452013
within_session,CSP+LDA,7,0train,133,0.7593848937132519,0.7593984962406015,0.7593848937132519,0.5187697874265038
within_session,CSP+LDA,7,1test,140,0.942845478669116,0.9428571428571428,0.942845478669116,0.8856909573382323
