mode,model,subject,n_test,balanced_accuracy,accuracy,macro_f1,cohen_kappa
cross_subject,CSP+LDA,8,266,0.936284486657621,0.9360902255639098,0.9360676365384344,0.8722237920316473
cross_subject,CSP+LDA,9,246,0.6635328389830508,0.6626016260162602,0.6625960505659754,0.3260941316258499
cross_subject,CSP+linearSVM,1,279,0.5359969167523124,0.5376344086021505,0.4143710236425468,0.07222952594540266
cross_subject,CSP+linearSVM,2,278,0.5209109730848861,0.5179856115107914,0.42459067037380294,0.04157661829782855
cross_subject,CSP+linearSVM,3,274,0.720961210571185,0.718978102189781,0.6975067027972529,0.4401634559252773
cross_subject,CSP+linearSVM,4,245,0.6101039722740602,0.6081632653061224,0.5990180032733223,0.2193308550185873
cross_subject,CSP+linearSVM,5,264,0.5464328760833381,0.5492424242424242,0.47548209366391186,0.09338566316518526
cross_subject,CSP+linearSVM,6,221,0.5458715596330275,0.5520361990950227,0.43078283945157014,0.09287283884074793
cross_subject,CSP+linearSVM,7,273,0.5260064412238326,0.5311355311355311,0.39635157545605304,0.052545957377582386
cross_subject,CSP+linearSVM,8,266,0.9362279511533242,0.9360902255639098,0.9360820953538667,0.872209348329848
cross_subject,CSP+linearSVM,9,246,0.6453257415254237,0.6422764227642277,0.6414231763068972,0.2885500197186801
within_session,CSP+LDA,1,279,0.892677286742035,0.8924731182795699,0.8921614100185529,0.785031847133758
within_session,CSP+LDA,2,278,0.5359730848861284,0.5359712230215827,0.5359652187415085,0.07194244604316546
within_session,CSP+LDA,3,274,0.9779944586530265,0.9781021897810219,0.9780916844349681,0.9561927094436155
within_session,CSP+LDA,4,245,0.6857171420954412,0.6857142857142857,0.6856933406641008,0.3713971543767285
within_session,CSP+LDA,5,264,0.5981748263789244,0.5984848484848485,0.5976535541752933,0.19646241313960833
within_session,CSP+LDA,6,221,0.6598951507208388,0.6606334841628959,0.6592661116250385,0.32022310626256
within_session,CSP+LDA,7,273,0.8534621578099839,0.8534798534798534,0.8534621578099839,0.7069243156199678
within_session,CSP+LDA,8,266,0.966078697421981,0.9661654135338346,0.9661534546379946,0.9323155216284987
within_session,CSP+LDA,9,246,0.8553363347457628,0.8577235772357723,0.8564689015953457,0.7137442649112309
within_session,CSP+linearSVM,1,279,0.9067831449126413,0.9068100358422939,0.9067992599444958,0.8136080990801171
within_session,CSP+linearSVM,2,278,0.5287784679089027,0.5287769784172662,0.5287708810475784,0.05755395683453235
within_session,CSP+linearSVM,3,274,0.9671248934356351,0.9671532846715328,0.9671493465837185,0.9342995683913252
within_session,CSP+linearSVM,4,245,0.6980138629698747,0.6979591836734694,0.6979541516726643,0.3959485573399081
within_session,CSP+linearSVM,5,264,0.601934224875165,0.6022727272727273,0.6013059674658766,0.20399724328049618
within_session,CSP+linearSVM,6,221,0.655185124508519,0.6561085972850679,0.65406162464986,0.31090506277180596
within_session,CSP+linearSVM,7,273,0.8572463768115942,0.8571428571428571,0.8571428571428571,0.7143202125090558
within_session,CSP+linearSVM,8,266,0.9699231117141565,0.9699248120300752,0.9699231117141565,0.9398462234283129
within_session,CSP+linearSVM,9,246,0.8537473516949152,0.8536585365853658,0.8535036061668761,0.7070265978562922
