mode,fold_id,model,n_train,n_test,fit_predict_seconds,balanced_accuracy,accuracy,macro_f1,cohen_kappa
within_session,within_s2_0train_run4,CSP+linearSVM,114,22,0.19877960000303574,0.5909090909090908,0.5909090909090909,0.5900621118012422,0.18181818181818177
within_session,within_s2_0train_run5,CSP+LDA,116,20,0.1556164999929024,0.65,0.65,0.6266666666666667,0.30000000000000004
within_session,within_s2_0train_run5,CSP+linearSVM,116,20,0.14560750000237022,0.6000000000000001,0.6,0.5833333333333333,0.19999999999999996
within_session,within_s2_1test_run0,CSP+LDA,119,23,0.14824950000911485,0.5378787878787878,0.5217391304347826,0.4559139784946237,0.07326007326007333
within_session,within_s2_1test_run0,CSP+linearSVM,119,23,0.15136610000627115,0.5378787878787878,0.5217391304347826,0.4559139784946237,0.07326007326007333
within_session,within_s2_1test_run1,CSP+LDA,118,24,0.18038820000947453,0.5,0.5,0.4375,0.0
within_session,within_s2_1test_run1,CSP+linearSVM,118,24,0.15701510000508279,0.5,0.5,0.4375,0.0
within_session,within_s2_1test_run2,CSP+LDA,119,23,0.17663349999929778,0.48863636363636365,0.4782608695652174,0.45238095238095233,-0.022222222222222143
within_session,within_s2_1test_run2,CSP+linearSVM,119,23,0.16503800000646152,0.49242424242424243,0.4782608695652174,0.425,-0.014705882352941346
within_session,within_s2_1test_run3,CSP+LDA,118,24,0.18853610000223853,0.625,0.625,0.6243478260869566,0.25
within_session,within_s2_1test_run3,CSP+linearSVM,118,24,0.15827130000980105,0.5833333333333333,0.5833333333333334,0.5804195804195804,0.16666666666666663
within_session,within_s2_1test_run4,CSP+LDA,118,24,0.16759989999991376,0.4583333333333333,0.4583333333333333,0.4337568058076225,-0.08333333333333326
within_session,within_s2_1test_run4,CSP+linearSVM,118,24,0.16893939999863505,0.45833333333333337,0.4583333333333333,0.4497354497354497,-0.08333333333333326
within_session,within_s2_1test_run5,CSP+LDA,118,24,0.1640795999992406,0.5416666666666666,0.5416666666666666,0.5343915343915344,0.08333333333333337
within_session,within_s2_1test_run5,CSP+linearSVM,118,24,0.18525170000793878,0.5416666666666666,0.5416666666666666,0.5343915343915344,0.08333333333333337
within_session,within_s3_0train_run0,CSP+LDA,114,23,0.15704200000618584,0.9545454545454546,0.9565217391304348,0.9561904761904761,0.9125475285171103
within_session,within_s3_0train_run0,CSP+linearSVM,114,23,0.16538219999347348,0.9545454545454546,0.9565217391304348,0.9561904761904761,0.9125475285171103
within_session,within_s3_0train_run1,CSP+LDA,115,22,0.15093080000951886,1.0,1.0,1.0,1.0
within_session,within_s3_0train_run1,CSP+linearSVM,115,22,0.16637979999359231,1.0,1.0,1.0,1.0
within_session,within_s3_0train_run2,CSP+LDA,113,24,0.1540515999950003,1.0,1.0,1.0,1.0
within_session,within_s3_0train_run2,CSP+linearSVM,113,24,0.16003020000061952,1.0,1.0,1.0,1.0
within_session,within_s3_0train_run3,CSP+LDA,117,20,0.1485571999946842,1.0,1.0,1.0,1.0
within_session,within_s3_0train_run3,CSP+linearSVM,117,20,0.14487709999957588,1.0,1.0,1.0,1.0
within_session,within_s3_0train_run4,CSP+LDA,113,24,0.16185149998636916,0.9583333333333333,0.9583333333333334,0.9582608695652174,0.9166666666666666
within_session,within_s3_0train_run4,CSP+linearSVM,113,24,0.1470456999959424,0.9583333333333333,0.9583333333333334,0.9582608695652174,0.9166666666666666
within_session,within_s3_0train_run5,CSP+LDA,113,24,0.14027079999505077,0.9166666666666667,0.9166666666666666,0.916083916083916,0.8333333333333334
