subject,seed,balanced_accuracy,class_recall,zero_recall_classes,dominant_prediction_share,n_trials,condition,selected_epochs
9,20260925,0.5625,"[0.5347222222222222, 0.2638888888888889, 0.4791666666666667, 0.9722222222222222]",0,0.5607638888888888,576,MU_BETA_CSP8_EEGNET,8
9,20260926,0.625,"[0.6736111111111112, 0.3125, 0.7361111111111112, 0.7777777777777778]",0,0.328125,576,MU_BETA_CSP8_EEGNET,8
1,20260924,0.5399305555555556,"[0.7569444444444444, 0.6527777777777778, 0.6319444444444444, 0.11805555555555555]",0,0.390625,576,MU_BETA_PCA8_EEGNET,13
1,20260925,0.5069444444444444,"[0.8125, 0.4444444444444444, 0.5138888888888888, 0.2569444444444444]",0,0.453125,576,MU_BETA_PCA8_EEGNET,13
1,20260926,0.4930555555555555,"[0.5347222222222222, 0.5277777777777778, 0.8888888888888888, 0.020833333333333332]",0,0.6215277777777778,576,MU_BETA_PCA8_EEGNET,13
2,20260924,0.3194444444444444,"[0.4444444444444444, 0.7083333333333334, 0.09027777777777778, 0.034722222222222224]",0,0.5729166666666666,576,MU_BETA_PCA8_EEGNET,9
2,20260925,0.3107638888888889,"[0.7986111111111112, 0.3125, 0.125, 0.006944444444444444]",0,0.7065972222222222,576,MU_BETA_PCA8_EEGNET,9
2,20260926,0.3315972222222222,"[0.5208333333333334, 0.6041666666666666, 0.1388888888888889, 0.0625]",0,0.4583333333333333,576,MU_BETA_PCA8_EEGNET,9
3,20260924,0.626736111111111,"[0.75, 0.8888888888888888, 0.1527777777777778, 0.7152777777777778]",0,0.3975694444444444,576,MU_BETA_PCA8_EEGNET,6
3,20260925,0.6284722222222222,"[0.5625, 0.8472222222222222, 0.2777777777777778, 0.8263888888888888]",0,0.3663194444444444,576,MU_BETA_PCA8_EEGNET,6
3,20260926,0.42013888888888884,"[0.3819444444444444, 0.25, 0.0763888888888889, 0.9722222222222222]",0,0.765625,576,MU_BETA_PCA8_EEGNET,6
4,20260924,0.39583333333333337,"[0.1875, 0.6875, 0.1736111111111111, 0.5347222222222222]",0,0.4045138888888889,576,MU_BETA_PCA8_EEGNET,10
4,20260925,0.3229166666666667,"[0.05555555555555555, 0.8958333333333334, 0.2638888888888889, 0.0763888888888889]",0,0.6822916666666666,576,MU_BETA_PCA8_EEGNET,10
4,20260926,0.328125,"[0.06944444444444445, 0.9027777777777778, 0.18055555555555555, 0.1597222222222222]",0,0.6701388888888888,576,MU_BETA_PCA8_EEGNET,10
5,20260924,0.2517361111111111,"[1.0, 0.006944444444444444, 0.0, 0.0]",2,0.9965277777777778,576,MU_BETA_PCA8_EEGNET,10
5,20260925,0.2517361111111111,"[0.9652777777777778, 0.041666666666666664, 0.0, 0.0]",2,0.9444444444444444,576,MU_BETA_PCA8_EEGNET,10
5,20260926,0.2534722222222222,"[0.22916666666666666, 0.7847222222222222, 0.0, 0.0]",2,0.734375,576,MU_BETA_PCA8_EEGNET,10
6,20260924,0.2864583333333333,"[0.06944444444444445, 0.2847222222222222, 0.1388888888888889, 0.6527777777777778]",0,0.6059027777777778,576,MU_BETA_PCA8_EEGNET,6
6,20260925,0.27951388888888884,"[0.06944444444444445, 0.2222222222222222, 0.1875, 0.6388888888888888]",0,0.5815972222222222,576,MU_BETA_PCA8_EEGNET,6
6,20260926,0.2743055555555555,"[0.0763888888888889, 0.041666666666666664, 0.027777777777777776, 0.9513888888888888]",0,0.8940972222222222,576,MU_BETA_PCA8_EEGNET,6
7,20260924,0.24479166666666666,"[0.2847222222222222, 0.19444444444444445, 0.4930555555555556, 0.006944444444444444]",0,0.5833333333333334,576,MU_BETA_PCA8_EEGNET,16
7,20260925,0.2690972222222222,"[0.2569444444444444, 0.7152777777777778, 0.08333333333333333, 0.020833333333333332]",0,0.6440972222222222,576,MU_BETA_PCA8_EEGNET,16
7,20260926,0.3159722222222222,"[0.375, 0.6041666666666666, 0.1875, 0.09722222222222222]",0,0.4600694444444444,576,MU_BETA_PCA8_EEGNET,16
8,20260924,0.6684027777777777,"[0.6666666666666666, 0.875, 0.4027777777777778, 0.7291666666666666]",0,0.3697916666666667,576,MU_BETA_PCA8_EEGNET,16
8,20260925,0.6562500000000001,"[0.625, 0.8958333333333334, 0.5833333333333334, 0.5208333333333334]",0,0.4045138888888889,576,MU_BETA_PCA8_EEGNET,16
8,20260926,0.6493055555555556,"[0.7152777777777778, 0.9236111111111112, 0.3125, 0.6458333333333334]",0,0.4375,576,MU_BETA_PCA8_EEGNET,16
9,20260924,0.5763888888888888,"[0.6527777777777778, 0.4375, 0.5416666666666666, 0.6736111111111112]",0,0.2899305555555556,576,MU_BETA_PCA8_EEGNET,8
9,20260925,0.5694444444444444,"[0.7430555555555556, 0.4930555555555556, 0.2986111111111111, 0.7430555555555556]",0,0.3368055555555556,576,MU_BETA_PCA8_EEGNET,8
9,20260926,0.5850694444444444,"[0.5208333333333334, 0.4513888888888889, 0.6527777777777778, 0.7152777777777778]",0,0.3524305555555556,576,MU_BETA_PCA8_EEGNET,8
