fold,subject,seed,stratum,true_label,predicted_label,count,condition,condition_name,fixed_epochs,normalization,model
loso_s3,3,20260926,flagged,1,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,2,1,6,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,2,2,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,2,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,2,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,3,1,10,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,3,2,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,3,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,3,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,4,1,7,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,4,2,2,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,4,3,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260926,flagged,4,4,0,B,SourceNorm_plus_2epochs,2,True,EEGNet
loso_s3,3,20260924,all,1,1,102,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,1,2,2,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,1,3,11,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,1,4,29,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,2,1,9,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,2,2,115,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,2,3,4,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,2,4,16,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,3,1,21,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,3,2,35,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,3,3,57,C,Raw_plus_16epochs,16,False,EEGNet
loso_s3,3,20260924,all,3,4,31,C,Raw_plus_16epochs,16,False,EEGNet
