fold,subject,seed,model,stratum,true_label,predicted_label,count
loso_s2,2,20260926,EEGNet,unflagged,3,2,22
loso_s2,2,20260926,EEGNet,unflagged,3,3,0
loso_s2,2,20260926,EEGNet,unflagged,3,4,0
loso_s2,2,20260926,EEGNet,unflagged,4,1,129
loso_s2,2,20260926,EEGNet,unflagged,4,2,11
loso_s2,2,20260926,EEGNet,unflagged,4,3,0
loso_s2,2,20260926,EEGNet,unflagged,4,4,0
loso_s2,2,20260926,EEGNet,flagged,1,1,5
loso_s2,2,20260926,EEGNet,flagged,1,2,1
loso_s2,2,20260926,EEGNet,flagged,1,3,0
loso_s2,2,20260926,EEGNet,flagged,1,4,0
loso_s2,2,20260926,EEGNet,flagged,2,1,2
loso_s2,2,20260926,EEGNet,flagged,2,2,2
loso_s2,2,20260926,EEGNet,flagged,2,3,0
loso_s2,2,20260926,EEGNet,flagged,2,4,0
loso_s2,2,20260926,EEGNet,flagged,3,1,8
loso_s2,2,20260926,EEGNet,flagged,3,2,1
loso_s2,2,20260926,EEGNet,flagged,3,3,0
loso_s2,2,20260926,EEGNet,flagged,3,4,0
loso_s2,2,20260926,EEGNet,flagged,4,1,4
loso_s2,2,20260926,EEGNet,flagged,4,2,0
loso_s2,2,20260926,EEGNet,flagged,4,3,0
loso_s2,2,20260926,EEGNet,flagged,4,4,0
loso_s3,3,20260924,EEGNet,all,1,1,144
loso_s3,3,20260924,EEGNet,all,1,2,0
loso_s3,3,20260924,EEGNet,all,1,3,0
loso_s3,3,20260924,EEGNet,all,1,4,0
loso_s3,3,20260924,EEGNet,all,2,1,143
loso_s3,3,20260924,EEGNet,all,2,2,1
loso_s3,3,20260924,EEGNet,all,2,3,0
loso_s3,3,20260924,EEGNet,all,2,4,0
loso_s3,3,20260924,EEGNet,all,3,1,144
loso_s3,3,20260924,EEGNet,all,3,2,0
loso_s3,3,20260924,EEGNet,all,3,3,0
loso_s3,3,20260924,EEGNet,all,3,4,0
loso_s3,3,20260924,EEGNet,all,4,1,143
loso_s3,3,20260924,EEGNet,all,4,2,1
loso_s3,3,20260924,EEGNet,all,4,3,0
loso_s3,3,20260924,EEGNet,all,4,4,0
loso_s3,3,20260924,EEGNet,unflagged,1,1,136
loso_s3,3,20260924,EEGNet,unflagged,1,2,0
loso_s3,3,20260924,EEGNet,unflagged,1,3,0
loso_s3,3,20260924,EEGNet,unflagged,1,4,0
loso_s3,3,20260924,EEGNet,unflagged,2,1,137
loso_s3,3,20260924,EEGNet,unflagged,2,2,1
loso_s3,3,20260924,EEGNet,unflagged,2,3,0
loso_s3,3,20260924,EEGNet,unflagged,2,4,0
loso_s3,3,20260924,EEGNet,unflagged,3,1,134
loso_s3,3,20260924,EEGNet,unflagged,3,2,0
loso_s3,3,20260924,EEGNet,unflagged,3,3,0
loso_s3,3,20260924,EEGNet,unflagged,3,4,0
loso_s3,3,20260924,EEGNet,unflagged,4,1,134
loso_s3,3,20260924,EEGNet,unflagged,4,2,1
loso_s3,3,20260924,EEGNet,unflagged,4,3,0
loso_s3,3,20260924,EEGNet,unflagged,4,4,0
loso_s3,3,20260924,EEGNet,flagged,1,1,8
loso_s3,3,20260924,EEGNet,flagged,1,2,0
loso_s3,3,20260924,EEGNet,flagged,1,3,0
loso_s3,3,20260924,EEGNet,flagged,1,4,0
loso_s3,3,20260924,EEGNet,flagged,2,1,6
loso_s3,3,20260924,EEGNet,flagged,2,2,0
loso_s3,3,20260924,EEGNet,flagged,2,3,0
loso_s3,3,20260924,EEGNet,flagged,2,4,0
loso_s3,3,20260924,EEGNet,flagged,3,1,10
loso_s3,3,20260924,EEGNet,flagged,3,2,0
loso_s3,3,20260924,EEGNet,flagged,3,3,0
loso_s3,3,20260924,EEGNet,flagged,3,4,0
loso_s3,3,20260924,EEGNet,flagged,4,1,9
loso_s3,3,20260924,EEGNet,flagged,4,2,0
loso_s3,3,20260924,EEGNet,flagged,4,3,0
loso_s3,3,20260924,EEGNet,flagged,4,4,0
loso_s3,3,20260925,EEGNet,all,1,1,143
loso_s3,3,20260925,EEGNet,all,1,2,1
loso_s3,3,20260925,EEGNet,all,1,3,0
loso_s3,3,20260925,EEGNet,all,1,4,0
loso_s3,3,20260925,EEGNet,all,2,1,142
loso_s3,3,20260925,EEGNet,all,2,2,2
loso_s3,3,20260925,EEGNet,all,2,3,0
loso_s3,3,20260925,EEGNet,all,2,4,0
loso_s3,3,20260925,EEGNet,all,3,1,143
loso_s3,3,20260925,EEGNet,all,3,2,1
loso_s3,3,20260925,EEGNet,all,3,3,0
loso_s3,3,20260925,EEGNet,all,3,4,0
loso_s3,3,20260925,EEGNet,all,4,1,139
loso_s3,3,20260925,EEGNet,all,4,2,4
loso_s3,3,20260925,EEGNet,all,4,3,1
loso_s3,3,20260925,EEGNet,all,4,4,0
