condition,subject,true_class,predicted_class,count
BROAD_LOGE_LOGREG,4,2,1,11
BROAD_LOGE_LOGREG,4,2,2,102
BROAD_LOGE_LOGREG,4,2,3,3
BROAD_LOGE_LOGREG,4,2,4,28
BROAD_LOGE_LOGREG,4,3,1,27
BROAD_LOGE_LOGREG,4,3,2,65
BROAD_LOGE_LOGREG,4,3,3,3
BROAD_LOGE_LOGREG,4,3,4,49
BROAD_LOGE_LOGREG,4,4,1,12
BROAD_LOGE_LOGREG,4,4,2,81
BROAD_LOGE_LOGREG,4,4,3,1
BROAD_LOGE_LOGREG,4,4,4,50
BROAD_LOGE_LOGREG,5,1,1,134
BROAD_LOGE_LOGREG,5,1,2,10
BROAD_LOGE_LOGREG,5,1,3,0
BROAD_LOGE_LOGREG,5,1,4,0
BROAD_LOGE_LOGREG,5,2,1,126
BROAD_LOGE_LOGREG,5,2,2,17
BROAD_LOGE_LOGREG,5,2,3,0
BROAD_LOGE_LOGREG,5,2,4,1
BROAD_LOGE_LOGREG,5,3,1,131
BROAD_LOGE_LOGREG,5,3,2,12
BROAD_LOGE_LOGREG,5,3,3,0
BROAD_LOGE_LOGREG,5,3,4,1
BROAD_LOGE_LOGREG,5,4,1,132
BROAD_LOGE_LOGREG,5,4,2,12
BROAD_LOGE_LOGREG,5,4,3,0
BROAD_LOGE_LOGREG,5,4,4,0
BROAD_LOGE_LOGREG,6,1,1,4
BROAD_LOGE_LOGREG,6,1,2,9
BROAD_LOGE_LOGREG,6,1,3,46
BROAD_LOGE_LOGREG,6,1,4,85
BROAD_LOGE_LOGREG,6,2,1,5
BROAD_LOGE_LOGREG,6,2,2,5
BROAD_LOGE_LOGREG,6,2,3,51
BROAD_LOGE_LOGREG,6,2,4,83
BROAD_LOGE_LOGREG,6,3,1,5
BROAD_LOGE_LOGREG,6,3,2,3
BROAD_LOGE_LOGREG,6,3,3,56
BROAD_LOGE_LOGREG,6,3,4,80
BROAD_LOGE_LOGREG,6,4,1,4
BROAD_LOGE_LOGREG,6,4,2,6
BROAD_LOGE_LOGREG,6,4,3,58
BROAD_LOGE_LOGREG,6,4,4,76
BROAD_LOGE_LOGREG,7,1,1,81
BROAD_LOGE_LOGREG,7,1,2,41
BROAD_LOGE_LOGREG,7,1,3,20
BROAD_LOGE_LOGREG,7,1,4,2
BROAD_LOGE_LOGREG,7,2,1,85
BROAD_LOGE_LOGREG,7,2,2,27
BROAD_LOGE_LOGREG,7,2,3,28
BROAD_LOGE_LOGREG,7,2,4,4
BROAD_LOGE_LOGREG,7,3,1,88
BROAD_LOGE_LOGREG,7,3,2,24
BROAD_LOGE_LOGREG,7,3,3,25
BROAD_LOGE_LOGREG,7,3,4,7
BROAD_LOGE_LOGREG,7,4,1,63
BROAD_LOGE_LOGREG,7,4,2,13
BROAD_LOGE_LOGREG,7,4,3,45
BROAD_LOGE_LOGREG,7,4,4,23
BROAD_LOGE_LOGREG,8,1,1,100
BROAD_LOGE_LOGREG,8,1,2,25
BROAD_LOGE_LOGREG,8,1,3,15
BROAD_LOGE_LOGREG,8,1,4,4
BROAD_LOGE_LOGREG,8,2,1,4
BROAD_LOGE_LOGREG,8,2,2,136
BROAD_LOGE_LOGREG,8,2,3,3
BROAD_LOGE_LOGREG,8,2,4,1
BROAD_LOGE_LOGREG,8,3,1,10
BROAD_LOGE_LOGREG,8,3,2,76
BROAD_LOGE_LOGREG,8,3,3,54
BROAD_LOGE_LOGREG,8,3,4,4
BROAD_LOGE_LOGREG,8,4,1,4
BROAD_LOGE_LOGREG,8,4,2,88
BROAD_LOGE_LOGREG,8,4,3,20
BROAD_LOGE_LOGREG,8,4,4,32
BROAD_LOGE_LOGREG,9,1,1,39
BROAD_LOGE_LOGREG,9,1,2,39
BROAD_LOGE_LOGREG,9,1,3,6
BROAD_LOGE_LOGREG,9,1,4,60
BROAD_LOGE_LOGREG,9,2,1,5
BROAD_LOGE_LOGREG,9,2,2,28
BROAD_LOGE_LOGREG,9,2,3,7
BROAD_LOGE_LOGREG,9,2,4,104
BROAD_LOGE_LOGREG,9,3,1,0
BROAD_LOGE_LOGREG,9,3,2,6
BROAD_LOGE_LOGREG,9,3,3,55
BROAD_LOGE_LOGREG,9,3,4,83
BROAD_LOGE_LOGREG,9,4,1,0
BROAD_LOGE_LOGREG,9,4,2,0
BROAD_LOGE_LOGREG,9,4,3,3
BROAD_LOGE_LOGREG,9,4,4,141
MUBETA_LOGE_LDA,1,1,1,121
MUBETA_LOGE_LDA,1,1,2,22
MUBETA_LOGE_LDA,1,1,3,1
MUBETA_LOGE_LDA,1,1,4,0
MUBETA_LOGE_LDA,1,2,1,38
MUBETA_LOGE_LDA,1,2,2,106
MUBETA_LOGE_LDA,1,2,3,0
MUBETA_LOGE_LDA,1,2,4,0
MUBETA_LOGE_LDA,1,3,1,56
MUBETA_LOGE_LDA,1,3,2,66
MUBETA_LOGE_LDA,1,3,3,20
MUBETA_LOGE_LDA,1,3,4,2
MUBETA_LOGE_LDA,1,4,1,70
MUBETA_LOGE_LDA,1,4,2,53
MUBETA_LOGE_LDA,1,4,3,20
MUBETA_LOGE_LDA,1,4,4,1
MUBETA_LOGE_LDA,2,1,1,91
MUBETA_LOGE_LDA,2,1,2,23
MUBETA_LOGE_LDA,2,1,3,30
MUBETA_LOGE_LDA,2,1,4,0
MUBETA_LOGE_LDA,2,2,1,80
MUBETA_LOGE_LDA,2,2,2,31
MUBETA_LOGE_LDA,2,2,3,33
MUBETA_LOGE_LDA,2,2,4,0
MUBETA_LOGE_LDA,2,3,1,106
MUBETA_LOGE_LDA,2,3,2,14
MUBETA_LOGE_LDA,2,3,3,24
MUBETA_LOGE_LDA,2,3,4,0
MUBETA_LOGE_LDA,2,4,1,110
MUBETA_LOGE_LDA,2,4,2,20
MUBETA_LOGE_LDA,2,4,3,14
MUBETA_LOGE_LDA,2,4,4,0
MUBETA_LOGE_LDA,3,1,1,36
MUBETA_LOGE_LDA,3,1,2,1
MUBETA_LOGE_LDA,3,1,3,2
MUBETA_LOGE_LDA,3,1,4,105
MUBETA_LOGE_LDA,3,2,1,10
MUBETA_LOGE_LDA,3,2,2,29
MUBETA_LOGE_LDA,3,2,3,2
MUBETA_LOGE_LDA,3,2,4,103
MUBETA_LOGE_LDA,3,3,1,3
MUBETA_LOGE_LDA,3,3,2,9
MUBETA_LOGE_LDA,3,3,3,26
MUBETA_LOGE_LDA,3,3,4,106
MUBETA_LOGE_LDA,3,4,1,2
MUBETA_LOGE_LDA,3,4,2,0
MUBETA_LOGE_LDA,3,4,3,0
MUBETA_LOGE_LDA,3,4,4,142
MUBETA_LOGE_LDA,4,1,1,8
MUBETA_LOGE_LDA,4,1,2,49
MUBETA_LOGE_LDA,4,1,3,7
MUBETA_LOGE_LDA,4,1,4,80
MUBETA_LOGE_LDA,4,2,1,3
MUBETA_LOGE_LDA,4,2,2,87
MUBETA_LOGE_LDA,4,2,3,8
MUBETA_LOGE_LDA,4,2,4,46
MUBETA_LOGE_LDA,4,3,1,4
MUBETA_LOGE_LDA,4,3,2,39
MUBETA_LOGE_LDA,4,3,3,4
MUBETA_LOGE_LDA,4,3,4,97
MUBETA_LOGE_LDA,4,4,1,4
MUBETA_LOGE_LDA,4,4,2,33
MUBETA_LOGE_LDA,4,4,3,2
MUBETA_LOGE_LDA,4,4,4,105
MUBETA_LOGE_LDA,5,1,1,140
MUBETA_LOGE_LDA,5,1,2,4
MUBETA_LOGE_LDA,5,1,3,0
MUBETA_LOGE_LDA,5,1,4,0
MUBETA_LOGE_LDA,5,2,1,134
MUBETA_LOGE_LDA,5,2,2,10
MUBETA_LOGE_LDA,5,2,3,0
MUBETA_LOGE_LDA,5,2,4,0
MUBETA_LOGE_LDA,5,3,1,142
MUBETA_LOGE_LDA,5,3,2,2
MUBETA_LOGE_LDA,5,3,3,0
MUBETA_LOGE_LDA,5,3,4,0
MUBETA_LOGE_LDA,5,4,1,141
MUBETA_LOGE_LDA,5,4,2,3
MUBETA_LOGE_LDA,5,4,3,0
MUBETA_LOGE_LDA,5,4,4,0
MUBETA_LOGE_LDA,6,1,1,9
MUBETA_LOGE_LDA,6,1,2,11
MUBETA_LOGE_LDA,6,1,3,32
MUBETA_LOGE_LDA,6,1,4,92
MUBETA_LOGE_LDA,6,2,1,6
MUBETA_LOGE_LDA,6,2,2,11
MUBETA_LOGE_LDA,6,2,3,20
MUBETA_LOGE_LDA,6,2,4,107
MUBETA_LOGE_LDA,6,3,1,4
MUBETA_LOGE_LDA,6,3,2,4
MUBETA_LOGE_LDA,6,3,3,31
MUBETA_LOGE_LDA,6,3,4,105
MUBETA_LOGE_LDA,6,4,1,7
MUBETA_LOGE_LDA,6,4,2,9
MUBETA_LOGE_LDA,6,4,3,26
MUBETA_LOGE_LDA,6,4,4,102
MUBETA_LOGE_LDA,7,1,1,38
MUBETA_LOGE_LDA,7,1,2,10
MUBETA_LOGE_LDA,7,1,3,87
MUBETA_LOGE_LDA,7,1,4,9
MUBETA_LOGE_LDA,7,2,1,27
MUBETA_LOGE_LDA,7,2,2,14
MUBETA_LOGE_LDA,7,2,3,88
MUBETA_LOGE_LDA,7,2,4,15
MUBETA_LOGE_LDA,7,3,1,43
MUBETA_LOGE_LDA,7,3,2,12
MUBETA_LOGE_LDA,7,3,3,78
MUBETA_LOGE_LDA,7,3,4,11
MUBETA_LOGE_LDA,7,4,1,17
MUBETA_LOGE_LDA,7,4,2,6
MUBETA_LOGE_LDA,7,4,3,103
MUBETA_LOGE_LDA,7,4,4,18
MUBETA_LOGE_LDA,8,1,1,86
MUBETA_LOGE_LDA,8,1,2,40
MUBETA_LOGE_LDA,8,1,3,7
MUBETA_LOGE_LDA,8,1,4,11
MUBETA_LOGE_LDA,8,2,1,1
MUBETA_LOGE_LDA,8,2,2,136
MUBETA_LOGE_LDA,8,2,3,1
MUBETA_LOGE_LDA,8,2,4,6
MUBETA_LOGE_LDA,8,3,1,12
MUBETA_LOGE_LDA,8,3,2,92
MUBETA_LOGE_LDA,8,3,3,27
MUBETA_LOGE_LDA,8,3,4,13
MUBETA_LOGE_LDA,8,4,1,4
MUBETA_LOGE_LDA,8,4,2,77
MUBETA_LOGE_LDA,8,4,3,4
MUBETA_LOGE_LDA,8,4,4,59
MUBETA_LOGE_LDA,9,1,1,58
MUBETA_LOGE_LDA,9,1,2,33
MUBETA_LOGE_LDA,9,1,3,6
MUBETA_LOGE_LDA,9,1,4,47
MUBETA_LOGE_LDA,9,2,1,6
MUBETA_LOGE_LDA,9,2,2,25
MUBETA_LOGE_LDA,9,2,3,11
MUBETA_LOGE_LDA,9,2,4,102
MUBETA_LOGE_LDA,9,3,1,2
MUBETA_LOGE_LDA,9,3,2,4
MUBETA_LOGE_LDA,9,3,3,51
MUBETA_LOGE_LDA,9,3,4,87
MUBETA_LOGE_LDA,9,4,1,0
MUBETA_LOGE_LDA,9,4,2,0
MUBETA_LOGE_LDA,9,4,3,2
MUBETA_LOGE_LDA,9,4,4,142
MUBETA_LOGE_SVM,1,1,1,117
MUBETA_LOGE_SVM,1,1,2,26
MUBETA_LOGE_SVM,1,1,3,1
MUBETA_LOGE_SVM,1,1,4,0
MUBETA_LOGE_SVM,1,2,1,39
MUBETA_LOGE_SVM,1,2,2,105
MUBETA_LOGE_SVM,1,2,3,0
MUBETA_LOGE_SVM,1,2,4,0
MUBETA_LOGE_SVM,1,3,1,49
MUBETA_LOGE_SVM,1,3,2,67
MUBETA_LOGE_SVM,1,3,3,28
MUBETA_LOGE_SVM,1,3,4,0
MUBETA_LOGE_SVM,1,4,1,56
MUBETA_LOGE_SVM,1,4,2,62
MUBETA_LOGE_SVM,1,4,3,24
MUBETA_LOGE_SVM,1,4,4,2
MUBETA_LOGE_SVM,2,1,1,104
MUBETA_LOGE_SVM,2,1,2,6
MUBETA_LOGE_SVM,2,1,3,34
MUBETA_LOGE_SVM,2,1,4,0
MUBETA_LOGE_SVM,2,2,1,103
MUBETA_LOGE_SVM,2,2,2,11
MUBETA_LOGE_SVM,2,2,3,30
MUBETA_LOGE_SVM,2,2,4,0
MUBETA_LOGE_SVM,2,3,1,111
MUBETA_LOGE_SVM,2,3,2,4
MUBETA_LOGE_SVM,2,3,3,29
MUBETA_LOGE_SVM,2,3,4,0
MUBETA_LOGE_SVM,2,4,1,121
MUBETA_LOGE_SVM,2,4,2,3
MUBETA_LOGE_SVM,2,4,3,20
MUBETA_LOGE_SVM,2,4,4,0
MUBETA_LOGE_SVM,3,1,1,30
MUBETA_LOGE_SVM,3,1,2,7
MUBETA_LOGE_SVM,3,1,3,4
MUBETA_LOGE_SVM,3,1,4,103
MUBETA_LOGE_SVM,3,2,1,14
MUBETA_LOGE_SVM,3,2,2,45
MUBETA_LOGE_SVM,3,2,3,1
MUBETA_LOGE_SVM,3,2,4,84
MUBETA_LOGE_SVM,3,3,1,2
MUBETA_LOGE_SVM,3,3,2,13
MUBETA_LOGE_SVM,3,3,3,48
MUBETA_LOGE_SVM,3,3,4,81
MUBETA_LOGE_SVM,3,4,1,3
MUBETA_LOGE_SVM,3,4,2,2
MUBETA_LOGE_SVM,3,4,3,9
MUBETA_LOGE_SVM,3,4,4,130
MUBETA_LOGE_SVM,4,1,1,10
MUBETA_LOGE_SVM,4,1,2,39
MUBETA_LOGE_SVM,4,1,3,1
MUBETA_LOGE_SVM,4,1,4,94
MUBETA_LOGE_SVM,4,2,1,2
MUBETA_LOGE_SVM,4,2,2,76
MUBETA_LOGE_SVM,4,2,3,3
MUBETA_LOGE_SVM,4,2,4,63
MUBETA_LOGE_SVM,4,3,1,8
MUBETA_LOGE_SVM,4,3,2,23
MUBETA_LOGE_SVM,4,3,3,4
MUBETA_LOGE_SVM,4,3,4,109
MUBETA_LOGE_SVM,4,4,1,3
MUBETA_LOGE_SVM,4,4,2,25
MUBETA_LOGE_SVM,4,4,3,1
MUBETA_LOGE_SVM,4,4,4,115
MUBETA_LOGE_SVM,5,1,1,130
MUBETA_LOGE_SVM,5,1,2,13
MUBETA_LOGE_SVM,5,1,3,0
MUBETA_LOGE_SVM,5,1,4,1
MUBETA_LOGE_SVM,5,2,1,124
MUBETA_LOGE_SVM,5,2,2,19
MUBETA_LOGE_SVM,5,2,3,0
MUBETA_LOGE_SVM,5,2,4,1
MUBETA_LOGE_SVM,5,3,1,130
MUBETA_LOGE_SVM,5,3,2,14
MUBETA_LOGE_SVM,5,3,3,0
MUBETA_LOGE_SVM,5,3,4,0
MUBETA_LOGE_SVM,5,4,1,129
MUBETA_LOGE_SVM,5,4,2,15
MUBETA_LOGE_SVM,5,4,3,0
MUBETA_LOGE_SVM,5,4,4,0
MUBETA_LOGE_SVM,6,1,1,18
MUBETA_LOGE_SVM,6,1,2,14
MUBETA_LOGE_SVM,6,1,3,46
MUBETA_LOGE_SVM,6,1,4,66
MUBETA_LOGE_SVM,6,2,1,9
MUBETA_LOGE_SVM,6,2,2,14
MUBETA_LOGE_SVM,6,2,3,32
MUBETA_LOGE_SVM,6,2,4,89
MUBETA_LOGE_SVM,6,3,1,9
MUBETA_LOGE_SVM,6,3,2,3
MUBETA_LOGE_SVM,6,3,3,55
MUBETA_LOGE_SVM,6,3,4,77
MUBETA_LOGE_SVM,6,4,1,11
MUBETA_LOGE_SVM,6,4,2,12
MUBETA_LOGE_SVM,6,4,3,41
MUBETA_LOGE_SVM,6,4,4,80
MUBETA_LOGE_SVM,7,1,1,60
MUBETA_LOGE_SVM,7,1,2,16
MUBETA_LOGE_SVM,7,1,3,59
MUBETA_LOGE_SVM,7,1,4,9
MUBETA_LOGE_SVM,7,2,1,34
MUBETA_LOGE_SVM,7,2,2,15
