contrast,subject,mean_seed_paired_delta_ba,delta_seed_20260924,delta_seed_20260925,delta_seed_20260926
Q9-E001/MID_8_30 minus Q9-E001/MU_BETA_SHARED,4,-0.029513888888888878,-0.06076388888888884,-0.010416666666666685,-0.017361111111111105
Q9-E001/MID_8_30 minus Q9-E001/MU_BETA_SHARED,5,-0.005208333333333333,0.0,-0.015625,0.0
Q9-E001/MID_8_30 minus Q9-E001/MU_BETA_SHARED,6,0.0017361111111111143,-0.010416666666666685,-0.020833333333333315,0.03645833333333334
Q9-E001/MID_8_30 minus Q9-E001/MU_BETA_SHARED,7,0.005208333333333297,-0.019097222222222265,0.03819444444444442,-0.0034722222222222654
Q9-E001/MID_8_30 minus Q9-E001/MU_BETA_SHARED,8,0.023726851851851822,0.05555555555555547,0.07638888888888884,-0.06076388888888884
Q9-E001/MID_8_30 minus Q9-E001/MU_BETA_SHARED,9,0.09143518518518516,0.13020833333333326,0.05902777777777779,0.08506944444444442
Q9-E002/MID_8_30_Q8_EPOCHS minus Q9-E001/MID_8_30,1,0.0069444444444443825,0.0017361111111110494,0.00694444444444442,0.012152777777777679
Q9-E002/MID_8_30_Q8_EPOCHS minus Q9-E001/MID_8_30,2,-0.009837962962962965,-0.00868055555555558,0.013888888888888895,-0.03472222222222221
Q9-E002/MID_8_30_Q8_EPOCHS minus Q9-E001/MID_8_30,3,-0.10474537037037035,-0.13368055555555558,0.02083333333333337,-0.20138888888888884
Q9-E002/MID_8_30_Q8_EPOCHS minus Q9-E001/MID_8_30,4,0.029513888888888857,0.04513888888888884,0.020833333333333315,0.02256944444444442
Q9-E002/MID_8_30_Q8_EPOCHS minus Q9-E001/MID_8_30,5,0.0023148148148148064,0.008680555555555525,0.005208333333333315,-0.00694444444444442
Q9-E002/MID_8_30_Q8_EPOCHS minus Q9-E001/MID_8_30,6,-0.00810185185185186,-0.017361111111111105,0.005208333333333315,-0.01215277777777779
Q9-E002/MID_8_30_Q8_EPOCHS minus Q9-E001/MID_8_30,7,-0.043981481481481476,-0.060763888888888895,-0.03472222222222221,-0.036458333333333315
Q9-E002/MID_8_30_Q8_EPOCHS minus Q9-E001/MID_8_30,8,0.041087962962962986,-0.00868055555555547,0.01909722222222221,0.11284722222222221
Q9-E002/MID_8_30_Q8_EPOCHS minus Q9-E001/MID_8_30,9,-0.07754629629629624,-0.11458333333333326,-0.02951388888888884,-0.08854166666666663
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q9-E001/MU_BETA_SHARED,1,0.041666666666666664,-0.01909722222222221,0.03298611111111116,0.11111111111111105
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q9-E001/MU_BETA_SHARED,2,0.0,0.0,0.0,0.0
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q9-E001/MU_BETA_SHARED,3,0.0,0.0,0.0,0.0
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q9-E001/MU_BETA_SHARED,4,0.0,0.0,0.0,0.0
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q9-E001/MU_BETA_SHARED,5,0.0023148148148148437,0.0034722222222222654,0.001736111111111105,0.0017361111111111605
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q9-E001/MU_BETA_SHARED,6,-0.008101851851851851,-0.022569444444444475,-0.020833333333333315,0.019097222222222238
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q9-E001/MU_BETA_SHARED,7,0.0,0.0,0.0,0.0
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q9-E001/MU_BETA_SHARED,8,0.08217592592592593,0.14236111111111105,0.10069444444444442,0.003472222222222321
Q9-E002/MU_BETA_SHARED_Q8_EPOCHS minus Q9-E001/MU_BETA_SHARED,9,0.0,0.0,0.0,0.0
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q9-E001/MU_BETA_SHARED,1,-0.0017361111111111234,-0.05208333333333337,-0.01909722222222221,0.06597222222222221
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q9-E001/MU_BETA_SHARED,2,-0.01678240740740744,-0.034722222222222265,0.02951388888888884,-0.045138888888888895
Q9-E004/MU_BETA_SHARED_SOURCE_CLEAN minus Q9-E001/MU_BETA_SHARED,3,-0.0028935185185185266,0.00868055555555547,-0.08159722222222221,0.06423611111111116
