condition,subject,seed,true_class,predicted_class,n_trials
Q5-E001,6,20260925,3,4,113
Q5-E001,6,20260925,4,1,5
Q5-E001,6,20260925,4,2,3
Q5-E001,6,20260925,4,3,27
Q5-E001,6,20260925,4,4,109
Q5-E001,6,20260926,1,1,7
Q5-E001,6,20260926,1,2,12
Q5-E001,6,20260926,1,3,108
Q5-E001,6,20260926,1,4,17
Q5-E001,6,20260926,2,1,2
Q5-E001,6,20260926,2,2,29
Q5-E001,6,20260926,2,3,98
Q5-E001,6,20260926,2,4,15
Q5-E001,6,20260926,3,1,4
Q5-E001,6,20260926,3,2,10
Q5-E001,6,20260926,3,3,93
Q5-E001,6,20260926,3,4,37
Q5-E001,6,20260926,4,1,3
Q5-E001,6,20260926,4,2,9
Q5-E001,6,20260926,4,3,113
Q5-E001,6,20260926,4,4,19
Q5-E001,7,20260924,1,1,81
Q5-E001,7,20260924,1,2,57
Q5-E001,7,20260924,1,3,3
Q5-E001,7,20260924,1,4,3
Q5-E001,7,20260924,2,1,79
Q5-E001,7,20260924,2,2,62
Q5-E001,7,20260924,2,3,2
Q5-E001,7,20260924,2,4,1
Q5-E001,7,20260924,3,1,60
Q5-E001,7,20260924,3,2,75
Q5-E001,7,20260924,3,3,8
Q5-E001,7,20260924,3,4,1
Q5-E001,7,20260924,4,1,72
Q5-E001,7,20260924,4,2,41
Q5-E001,7,20260924,4,3,13
Q5-E001,7,20260924,4,4,18
Q5-E001,7,20260925,1,1,33
Q5-E001,7,20260925,1,2,103
Q5-E001,7,20260925,1,3,7
Q5-E001,7,20260925,1,4,1
Q5-E001,7,20260925,2,1,35
Q5-E001,7,20260925,2,2,107
Q5-E001,7,20260925,2,3,2
Q5-E001,7,20260925,2,4,0
Q5-E001,7,20260925,3,1,28
Q5-E001,7,20260925,3,2,111
Q5-E001,7,20260925,3,3,5
Q5-E001,7,20260925,3,4,0
Q5-E001,7,20260925,4,1,33
Q5-E001,7,20260925,4,2,69
Q5-E001,7,20260925,4,3,27
Q5-E001,7,20260925,4,4,15
Q5-E001,7,20260926,1,1,76
Q5-E001,7,20260926,1,2,65
Q5-E001,7,20260926,1,3,1
Q5-E001,7,20260926,1,4,2
Q5-E001,7,20260926,2,1,71
Q5-E001,7,20260926,2,2,69
Q5-E001,7,20260926,2,3,3
Q5-E001,7,20260926,2,4,1
Q5-E001,7,20260926,3,1,49
Q5-E001,7,20260926,3,2,88
Q5-E001,7,20260926,3,3,5
Q5-E001,7,20260926,3,4,2
Q5-E001,7,20260926,4,1,72
Q5-E001,7,20260926,4,2,48
Q5-E001,7,20260926,4,3,11
Q5-E001,7,20260926,4,4,13
Q5-E001,8,20260924,1,1,65
Q5-E001,8,20260924,1,2,78
Q5-E001,8,20260924,1,3,0
Q5-E001,8,20260924,1,4,1
Q5-E001,8,20260924,2,1,61
Q5-E001,8,20260924,2,2,82
Q5-E001,8,20260924,2,3,0
Q5-E001,8,20260924,2,4,1
Q5-E001,8,20260924,3,1,57
Q5-E001,8,20260924,3,2,85
Q5-E001,8,20260924,3,3,2
Q5-E001,8,20260924,3,4,0
Q5-E001,8,20260924,4,1,44
Q5-E001,8,20260924,4,2,80
Q5-E001,8,20260924,4,3,6
Q5-E001,8,20260924,4,4,14
Q5-E001,8,20260925,1,1,125
Q5-E001,8,20260925,1,2,7
Q5-E001,8,20260925,1,3,12
Q5-E001,8,20260925,1,4,0
Q5-E001,8,20260925,2,1,111
Q5-E001,8,20260925,2,2,13
Q5-E001,8,20260925,2,3,19
Q5-E001,8,20260925,2,4,1
Q5-E001,8,20260925,3,1,118
Q5-E001,8,20260925,3,2,9
Q5-E001,8,20260925,3,3,14
Q5-E001,8,20260925,3,4,3
Q5-E001,8,20260925,4,1,77
Q5-E001,8,20260925,4,2,17
Q5-E001,8,20260925,4,3,37
Q5-E001,8,20260925,4,4,13
Q5-E001,8,20260926,1,1,77
Q5-E001,8,20260926,1,2,60
Q5-E001,8,20260926,1,3,5
Q5-E001,8,20260926,1,4,2
Q5-E001,8,20260926,2,1,65
Q5-E001,8,20260926,2,2,74
Q5-E001,8,20260926,2,3,3
Q5-E001,8,20260926,2,4,2
Q5-E001,8,20260926,3,1,60
Q5-E001,8,20260926,3,2,66
Q5-E001,8,20260926,3,3,12
Q5-E001,8,20260926,3,4,6
Q5-E001,8,20260926,4,1,31
Q5-E001,8,20260926,4,2,77
Q5-E001,8,20260926,4,3,14
Q5-E001,8,20260926,4,4,22
Q5-E001,9,20260924,1,1,56
Q5-E001,9,20260924,1,2,46
Q5-E001,9,20260924,1,3,7
Q5-E001,9,20260924,1,4,35
Q5-E001,9,20260924,2,1,1
Q5-E001,9,20260924,2,2,65
Q5-E001,9,20260924,2,3,12
Q5-E001,9,20260924,2,4,66
Q5-E001,9,20260924,3,1,6
Q5-E001,9,20260924,3,2,20
Q5-E001,9,20260924,3,3,17
Q5-E001,9,20260924,3,4,101
Q5-E001,9,20260924,4,1,1
Q5-E001,9,20260924,4,2,4
Q5-E001,9,20260924,4,3,1
Q5-E001,9,20260924,4,4,138
Q5-E001,9,20260925,1,1,62
Q5-E001,9,20260925,1,2,62
Q5-E001,9,20260925,1,3,10
Q5-E001,9,20260925,1,4,10
Q5-E001,9,20260925,2,1,6
Q5-E001,9,20260925,2,2,67
Q5-E001,9,20260925,2,3,34
Q5-E001,9,20260925,2,4,37
Q5-E001,9,20260925,3,1,11
Q5-E001,9,20260925,3,2,22
Q5-E001,9,20260925,3,3,44
Q5-E001,9,20260925,3,4,67
Q5-E001,9,20260925,4,1,2
Q5-E001,9,20260925,4,2,4
Q5-E001,9,20260925,4,3,20
Q5-E001,9,20260925,4,4,118
Q5-E001,9,20260926,1,1,67
Q5-E001,9,20260926,1,2,40
Q5-E001,9,20260926,1,3,14
Q5-E001,9,20260926,1,4,23
Q5-E001,9,20260926,2,1,2
Q5-E001,9,20260926,2,2,46
Q5-E001,9,20260926,2,3,21
Q5-E001,9,20260926,2,4,75
Q5-E001,9,20260926,3,1,1
Q5-E001,9,20260926,3,2,15
Q5-E001,9,20260926,3,3,15
Q5-E001,9,20260926,3,4,113
Q5-E001,9,20260926,4,1,0
Q5-E001,9,20260926,4,2,0
Q5-E001,9,20260926,4,3,4
Q5-E001,9,20260926,4,4,140
Q6-E001,1,20260924,1,1,131
Q6-E001,1,20260924,1,2,7
Q6-E001,1,20260924,1,3,5
Q6-E001,1,20260924,1,4,1
Q6-E001,1,20260924,2,1,75
Q6-E001,1,20260924,2,2,64
Q6-E001,1,20260924,2,3,5
Q6-E001,1,20260924,2,4,0
Q6-E001,1,20260924,3,1,34
Q6-E001,1,20260924,3,2,7
Q6-E001,1,20260924,3,3,97
Q6-E001,1,20260924,3,4,6
Q6-E001,1,20260924,4,1,49
Q6-E001,1,20260924,4,2,2
Q6-E001,1,20260924,4,3,87
Q6-E001,1,20260924,4,4,6
Q6-E001,1,20260925,1,1,118
Q6-E001,1,20260925,1,2,20
Q6-E001,1,20260925,1,3,4
Q6-E001,1,20260925,1,4,2
Q6-E001,1,20260925,2,1,29
Q6-E001,1,20260925,2,2,111
Q6-E001,1,20260925,2,3,4
Q6-E001,1,20260925,2,4,0
Q6-E001,1,20260925,3,1,37
Q6-E001,1,20260925,3,2,8
Q6-E001,1,20260925,3,3,76
Q6-E001,1,20260925,3,4,23
Q6-E001,1,20260925,4,1,45
Q6-E001,1,20260925,4,2,2
Q6-E001,1,20260925,4,3,65
Q6-E001,1,20260925,4,4,32
Q6-E001,1,20260926,1,1,105
Q6-E001,1,20260926,1,2,37
Q6-E001,1,20260926,1,3,2
Q6-E001,1,20260926,1,4,0
Q6-E001,1,20260926,2,1,3
Q6-E001,1,20260926,2,2,141
Q6-E001,1,20260926,2,3,0
Q6-E001,1,20260926,2,4,0
Q6-E001,1,20260926,3,1,40
Q6-E001,1,20260926,3,2,19
Q6-E001,1,20260926,3,3,77
Q6-E001,1,20260926,3,4,8
Q6-E001,1,20260926,4,1,51
Q6-E001,1,20260926,4,2,6
Q6-E001,1,20260926,4,3,62
Q6-E001,1,20260926,4,4,25
Q6-E001,2,20260924,1,1,135
Q6-E001,2,20260924,1,2,9
Q6-E001,2,20260924,1,3,0
Q6-E001,2,20260924,1,4,0
Q6-E001,2,20260924,2,1,140
Q6-E001,2,20260924,2,2,4
Q6-E001,2,20260924,2,3,0
Q6-E001,2,20260924,2,4,0
Q6-E001,2,20260924,3,1,140
Q6-E001,2,20260924,3,2,4
Q6-E001,2,20260924,3,3,0
Q6-E001,2,20260924,3,4,0
Q6-E001,2,20260924,4,1,139
Q6-E001,2,20260924,4,2,5
Q6-E001,2,20260924,4,3,0
Q6-E001,2,20260924,4,4,0
Q6-E001,2,20260925,1,1,144
Q6-E001,2,20260925,1,2,0
Q6-E001,2,20260925,1,3,0
Q6-E001,2,20260925,1,4,0
Q6-E001,2,20260925,2,1,144
Q6-E001,2,20260925,2,2,0
Q6-E001,2,20260925,2,3,0
Q6-E001,2,20260925,2,4,0
Q6-E001,2,20260925,3,1,142
Q6-E001,2,20260925,3,2,2
Q6-E001,2,20260925,3,3,0
Q6-E001,2,20260925,3,4,0
Q6-E001,2,20260925,4,1,143
Q6-E001,2,20260925,4,2,1
Q6-E001,2,20260925,4,3,0
Q6-E001,2,20260925,4,4,0
Q6-E001,2,20260926,1,1,144
Q6-E001,2,20260926,1,2,0
Q6-E001,2,20260926,1,3,0
Q6-E001,2,20260926,1,4,0
Q6-E001,2,20260926,2,1,144
Q6-E001,2,20260926,2,2,0
Q6-E001,2,20260926,2,3,0
Q6-E001,2,20260926,2,4,0
Q6-E001,2,20260926,3,1,144
Q6-E001,2,20260926,3,2,0
Q6-E001,2,20260926,3,3,0
Q6-E001,2,20260926,3,4,0
Q6-E001,2,20260926,4,1,144
Q6-E001,2,20260926,4,2,0
Q6-E001,2,20260926,4,3,0
Q6-E001,2,20260926,4,4,0
Q6-E001,3,20260924,1,1,104
Q6-E001,3,20260924,1,2,1
Q6-E001,3,20260924,1,3,3
Q6-E001,3,20260924,1,4,36
Q6-E001,3,20260924,2,1,10
Q6-E001,3,20260924,2,2,105
Q6-E001,3,20260924,2,3,0
Q6-E001,3,20260924,2,4,29
Q6-E001,3,20260924,3,1,27
Q6-E001,3,20260924,3,2,31
Q6-E001,3,20260924,3,3,36
Q6-E001,3,20260924,3,4,50
Q6-E001,3,20260924,4,1,6
Q6-E001,3,20260924,4,2,4
Q6-E001,3,20260924,4,3,8
Q6-E001,3,20260924,4,4,126
Q6-E001,3,20260925,1,1,80
Q6-E001,3,20260925,1,2,0
Q6-E001,3,20260925,1,3,3
Q6-E001,3,20260925,1,4,61
Q6-E001,3,20260925,2,1,6
Q6-E001,3,20260925,2,2,57
Q6-E001,3,20260925,2,3,4
Q6-E001,3,20260925,2,4,77
Q6-E001,3,20260925,3,1,9
Q6-E001,3,20260925,3,2,9
Q6-E001,3,20260925,3,3,57
Q6-E001,3,20260925,3,4,69
Q6-E001,3,20260925,4,1,1
Q6-E001,3,20260925,4,2,2
Q6-E001,3,20260925,4,3,7
Q6-E001,3,20260925,4,4,134
Q6-E001,3,20260926,1,1,120
Q6-E001,3,20260926,1,2,11
Q6-E001,3,20260926,1,3,7
Q6-E001,3,20260926,1,4,6
Q6-E001,3,20260926,2,1,5
Q6-E001,3,20260926,2,2,131
Q6-E001,3,20260926,2,3,2
Q6-E001,3,20260926,2,4,6
Q6-E001,3,20260926,3,1,13
Q6-E001,3,20260926,3,2,29
Q6-E001,3,20260926,3,3,83
Q6-E001,3,20260926,3,4,19
Q6-E001,3,20260926,4,1,4
Q6-E001,3,20260926,4,2,5
Q6-E001,3,20260926,4,3,30
Q6-E001,3,20260926,4,4,105
Q6-E001,4,20260924,1,1,79
Q6-E001,4,20260924,1,2,31
Q6-E001,4,20260924,1,3,34
Q6-E001,4,20260924,1,4,0
Q6-E001,4,20260924,2,1,34
Q6-E001,4,20260924,2,2,86
Q6-E001,4,20260924,2,3,23
Q6-E001,4,20260924,2,4,1
Q6-E001,4,20260924,3,1,71
Q6-E001,4,20260924,3,2,25
Q6-E001,4,20260924,3,3,31
Q6-E001,4,20260924,3,4,17
Q6-E001,4,20260924,4,1,46
Q6-E001,4,20260924,4,2,52
Q6-E001,4,20260924,4,3,27
Q6-E001,4,20260924,4,4,19
Q6-E001,4,20260925,1,1,21
Q6-E001,4,20260925,1,2,71
Q6-E001,4,20260925,1,3,52
Q6-E001,4,20260925,1,4,0
Q6-E001,4,20260925,2,1,5
Q6-E001,4,20260925,2,2,105
Q6-E001,4,20260925,2,3,34
Q6-E001,4,20260925,2,4,0
Q6-E001,4,20260925,3,1,26
Q6-E001,4,20260925,3,2,37
Q6-E001,4,20260925,3,3,71
Q6-E001,4,20260925,3,4,10
Q6-E001,4,20260925,4,1,9
Q6-E001,4,20260925,4,2,53
Q6-E001,4,20260925,4,3,74
Q6-E001,4,20260925,4,4,8
Q6-E001,4,20260926,1,1,3
Q6-E001,4,20260926,1,2,63
Q6-E001,4,20260926,1,3,68
Q6-E001,4,20260926,1,4,10
Q6-E001,4,20260926,2,1,0
Q6-E001,4,20260926,2,2,99
Q6-E001,4,20260926,2,3,42
Q6-E001,4,20260926,2,4,3
Q6-E001,4,20260926,3,1,3
Q6-E001,4,20260926,3,2,19
Q6-E001,4,20260926,3,3,85
Q6-E001,4,20260926,3,4,37
Q6-E001,4,20260926,4,1,1
Q6-E001,4,20260926,4,2,32
Q6-E001,4,20260926,4,3,72
Q6-E001,4,20260926,4,4,39
Q6-E001,5,20260924,1,1,127
Q6-E001,5,20260924,1,2,17
Q6-E001,5,20260924,1,3,0
Q6-E001,5,20260924,1,4,0
Q6-E001,5,20260924,2,1,132
Q6-E001,5,20260924,2,2,12
Q6-E001,5,20260924,2,3,0
Q6-E001,5,20260924,2,4,0
Q6-E001,5,20260924,3,1,132
Q6-E001,5,20260924,3,2,12
Q6-E001,5,20260924,3,3,0
Q6-E001,5,20260924,3,4,0
Q6-E001,5,20260924,4,1,127
Q6-E001,5,20260924,4,2,17
Q6-E001,5,20260924,4,3,0
Q6-E001,5,20260924,4,4,0
Q6-E001,5,20260925,1,1,4
Q6-E001,5,20260925,1,2,140
Q6-E001,5,20260925,1,3,0
Q6-E001,5,20260925,1,4,0
Q6-E001,5,20260925,2,1,9
Q6-E001,5,20260925,2,2,134
Q6-E001,5,20260925,2,3,1
Q6-E001,5,20260925,2,4,0
Q6-E001,5,20260925,3,1,6
Q6-E001,5,20260925,3,2,138
Q6-E001,5,20260925,3,3,0
Q6-E001,5,20260925,3,4,0
Q6-E001,5,20260925,4,1,11
Q6-E001,5,20260925,4,2,133
Q6-E001,5,20260925,4,3,0
Q6-E001,5,20260925,4,4,0
Q6-E001,5,20260926,1,1,110
Q6-E001,5,20260926,1,2,34
Q6-E001,5,20260926,1,3,0
Q6-E001,5,20260926,1,4,0
Q6-E001,5,20260926,2,1,105
Q6-E001,5,20260926,2,2,39
Q6-E001,5,20260926,2,3,0
Q6-E001,5,20260926,2,4,0
Q6-E001,5,20260926,3,1,103
Q6-E001,5,20260926,3,2,41
Q6-E001,5,20260926,3,3,0
Q6-E001,5,20260926,3,4,0
Q6-E001,5,20260926,4,1,102
Q6-E001,5,20260926,4,2,42
Q6-E001,5,20260926,4,3,0
Q6-E001,5,20260926,4,4,0
Q6-E001,6,20260924,1,1,5
Q6-E001,6,20260924,1,2,16
Q6-E001,6,20260924,1,3,75
Q6-E001,6,20260924,1,4,48
Q6-E001,6,20260924,2,1,1
Q6-E001,6,20260924,2,2,35
Q6-E001,6,20260924,2,3,53
Q6-E001,6,20260924,2,4,55
Q6-E001,6,20260924,3,1,1
Q6-E001,6,20260924,3,2,13
Q6-E001,6,20260924,3,3,49
Q6-E001,6,20260924,3,4,81
Q6-E001,6,20260924,4,1,0
Q6-E001,6,20260924,4,2,7
Q6-E001,6,20260924,4,3,65
Q6-E001,6,20260924,4,4,72
Q6-E001,6,20260925,1,1,17
Q6-E001,6,20260925,1,2,5
Q6-E001,6,20260925,1,3,50
Q6-E001,6,20260925,1,4,72
Q6-E001,6,20260925,2,1,6
Q6-E001,6,20260925,2,2,19
Q6-E001,6,20260925,2,3,35
Q6-E001,6,20260925,2,4,84
Q6-E001,6,20260925,3,1,4
Q6-E001,6,20260925,3,2,4
