condition,subject,seed,balanced_accuracy,accuracy,n_trials,n_classes_present,zero_recall_count,zero_recall_classes,dominant_prediction_share,prediction_entropy_bits,recall_class_1,recall_class_2,recall_class_3,recall_class_4
Q8-E001,9,20260924,0.5381944444444444,0.5381944444444444,576,4,0,,0.2864583333333333,1.9852814513149541,0.5555555555555556,0.5416666666666666,0.4097222222222222,0.6458333333333334
Q8-E001,9,20260925,0.5243055555555556,0.5243055555555556,576,4,0,,0.4635416666666667,1.8446313105394063,0.5555555555555556,0.3472222222222222,0.2986111111111111,0.8958333333333334
Q8-E001,9,20260926,0.4982638888888889,0.4982638888888889,576,4,0,,0.5607638888888888,1.6487907229768242,0.4097222222222222,0.4027777777777778,0.20833333333333334,0.9722222222222222
Q9-E001/BETA_13_30,1,20260924,0.2847222222222222,0.2847222222222222,576,4,2,3;4,0.6006944444444444,0.9866627892261546,0.7986111111111112,0.3402777777777778,0.0,0.0
Q9-E001/BETA_13_30,1,20260925,0.2517361111111111,0.2517361111111111,576,4,2,3;4,0.8767361111111112,0.5386706052745922,0.9722222222222222,0.034722222222222224,0.0,0.0
Q9-E001/BETA_13_30,1,20260926,0.3055555555555556,0.3055555555555556,576,4,2,3;4,0.6840277777777778,0.8999474990430503,0.8680555555555556,0.3541666666666667,0.0,0.0
Q9-E001/BETA_13_30,2,20260924,0.25,0.25,576,4,2,3;4,0.9722222222222222,0.19249123681851205,0.9722222222222222,0.027777777777777776,0.0,0.0
Q9-E001/BETA_13_30,2,20260925,0.25,0.25,576,4,3,2;3;4,0.9913194444444444,0.07191329906970816,1.0,0.0,0.0,0.0
Q9-E001/BETA_13_30,2,20260926,0.24131944444444445,0.24131944444444445,576,4,0,,0.9131944444444444,0.5235608889279717,0.8819444444444444,0.020833333333333332,0.006944444444444444,0.05555555555555555
Q9-E001/BETA_13_30,3,20260924,0.25,0.25,576,4,3,2;3;4,1.0,-0.0,1.0,0.0,0.0,0.0
Q9-E001/BETA_13_30,3,20260925,0.2517361111111111,0.2517361111111111,576,4,2,3;4,0.9652777777777778,0.2175468793381155,0.9652777777777778,0.041666666666666664,0.0,0.0
Q9-E001/BETA_13_30,3,20260926,0.25,0.25,576,4,3,2;3;4,1.0,-0.0,1.0,0.0,0.0,0.0
Q9-E001/BETA_13_30,4,20260924,0.25,0.25,576,4,3,2;3;4,1.0,-0.0,1.0,0.0,0.0,0.0
Q9-E001/BETA_13_30,4,20260925,0.2482638888888889,0.2482638888888889,576,4,2,3;4,0.859375,0.5858732928619205,0.8611111111111112,0.13194444444444445,0.0,0.0
Q9-E001/BETA_13_30,4,20260926,0.2534722222222222,0.2534722222222222,576,4,2,3;4,0.9913194444444444,0.07191329906970816,1.0,0.013888888888888888,0.0,0.0
Q9-E001/BETA_13_30,5,20260924,0.25,0.25,576,4,3,2;3;4,1.0,-0.0,1.0,0.0,0.0,0.0
Q9-E001/BETA_13_30,5,20260925,0.2534722222222222,0.2534722222222222,576,4,2,3;4,0.9861111111111112,0.10559103637519526,0.9930555555555556,0.020833333333333332,0.0,0.0
Q9-E001/BETA_13_30,5,20260926,0.25,0.25,576,4,3,2;3;4,1.0,-0.0,1.0,0.0,0.0,0.0
Q9-E001/BETA_13_30,6,20260924,0.2899305555555556,0.2899305555555556,576,4,0,,0.7013888888888888,1.1925552962352413,0.041666666666666664,0.125,0.18055555555555555,0.8125
Q9-E001/BETA_13_30,6,20260925,0.3072916666666667,0.3072916666666667,576,4,0,,0.4861111111111111,1.4557502730433276,0.05555555555555555,0.1736111111111111,0.4375,0.5625
Q9-E001/BETA_13_30,6,20260926,0.3211805555555556,0.3211805555555556,576,4,0,,0.5364583333333334,1.3019485642650643,0.020833333333333332,0.125,0.5208333333333334,0.6180555555555556
Q9-E001/BETA_13_30,7,20260924,0.3194444444444444,0.3194444444444444,576,4,0,,0.4322916666666667,1.7482061220673548,0.5763888888888888,0.4375,0.11805555555555555,0.14583333333333334
Q9-E001/BETA_13_30,7,20260925,0.22743055555555555,0.22743055555555555,576,4,0,,0.7378472222222222,0.9615769050803248,0.7777777777777778,0.027777777777777776,0.09722222222222222,0.006944444444444444
Q9-E001/BETA_13_30,7,20260926,0.2743055555555556,0.2743055555555556,576,4,1,4,0.9010416666666666,0.5643952395419242,0.9583333333333334,0.11805555555555555,0.020833333333333332,0.0
Q9-E001/BETA_13_30,8,20260924,0.4826388888888889,0.4826388888888889,576,4,0,,0.4045138888888889,1.8350623942620217,0.2152777777777778,0.4930555555555556,0.4305555555555556,0.7916666666666666
Q9-E001/BETA_13_30,8,20260925,0.5121527777777778,0.5121527777777778,576,4,0,,0.4895833333333333,1.744698418137412,0.3888888888888889,0.8819444444444444,0.13194444444444445,0.6458333333333334
Q9-E001/BETA_13_30,8,20260926,0.5052083333333334,0.5052083333333334,576,4,0,,0.4131944444444444,1.907850101217164,0.4513888888888889,0.7986111111111112,0.2638888888888889,0.5069444444444444
Q9-E001/BETA_13_30,9,20260924,0.4461805555555556,0.4461805555555556,576,4,0,,0.6545138888888888,1.4201985156267896,0.5,0.25,0.04861111111111111,0.9861111111111112
Q9-E001/BETA_13_30,9,20260925,0.5086805555555556,0.5086805555555556,576,4,0,,0.4791666666666667,1.7895502321794257,0.5625,0.1875,0.375,0.9097222222222222
Q9-E001/BETA_13_30,9,20260926,0.47916666666666663,0.4791666666666667,576,4,0,,0.4774305555555556,1.8115058505612995,0.4444444444444444,0.2777777777777778,0.3472222222222222,0.8472222222222222
Q9-E001/MID_8_30,1,20260924,0.5902777777777778,0.5902777777777778,576,4,0,,0.5243055555555556,1.5221427250501651,0.5625,0.8680555555555556,0.9027777777777778,0.027777777777777776
Q9-E001/MID_8_30,1,20260925,0.6024305555555556,0.6024305555555556,576,4,0,,0.3142361111111111,1.9756544016262905,0.5972222222222222,0.7152777777777778,0.4583333333333333,0.6388888888888888
Q9-E001/MID_8_30,1,20260926,0.6145833333333334,0.6145833333333334,576,4,0,,0.3767361111111111,1.928979696868733,0.5555555555555556,0.7777777777777778,0.7222222222222222,0.4027777777777778
Q9-E001/MID_8_30,2,20260924,0.2795138888888889,0.2795138888888889,576,4,0,,0.7361111111111112,1.2401673461415565,0.7847222222222222,0.16666666666666666,0.08333333333333333,0.08333333333333333
Q9-E001/MID_8_30,2,20260925,0.29166666666666663,0.2916666666666667,576,4,1,4,0.7291666666666666,1.1239759133110034,0.8263888888888888,0.19444444444444445,0.14583333333333334,0.0
Q9-E001/MID_8_30,2,20260926,0.3194444444444444,0.3194444444444444,576,4,1,4,0.59375,1.1730287397631358,0.4722222222222222,0.7638888888888888,0.041666666666666664,0.0
Q9-E001/MID_8_30,3,20260924,0.7326388888888888,0.7326388888888888,576,4,0,,0.2951388888888889,1.987599872030981,0.7361111111111112,0.7569444444444444,0.7222222222222222,0.7152777777777778
Q9-E001/MID_8_30,3,20260925,0.578125,0.578125,576,4,0,,0.5798611111111112,1.6394173381325399,0.4722222222222222,0.4305555555555556,0.4652777777777778,0.9444444444444444
Q9-E001/MID_8_30,3,20260926,0.7482638888888888,0.7482638888888888,576,4,0,,0.3142361111111111,1.961667795499156,0.8125,0.8472222222222222,0.5,0.8333333333333334
