condition,subject,seed,dimension,stratum,n_trials,n_classes_present,balanced_accuracy_observed_classes,accuracy,recall_class_1,recall_class_2,recall_class_3,recall_class_4
Q9-E001/BETA_13_30,9,20260926,session,1test,288,4,0.4375,0.4375,0.375,0.20833333333333334,0.3472222222222222,0.8194444444444444
Q9-E001/MID_8_30,1,20260924,artifact,False,554,4,0.594058741309985,0.5938628158844765,0.5571428571428572,0.8776978417266187,0.9124087591240876,0.028985507246376812
Q9-E001/MID_8_30,1,20260924,artifact,True,22,4,0.5160714285714285,0.5,0.75,0.6,0.7142857142857143,0.0
Q9-E001/MID_8_30,1,20260924,session,0train,288,4,0.5625,0.5625,0.5138888888888888,0.8055555555555556,0.8888888888888888,0.041666666666666664
Q9-E001/MID_8_30,1,20260924,session,1test,288,4,0.6180555555555556,0.6180555555555556,0.6111111111111112,0.9305555555555556,0.9166666666666666,0.013888888888888888
Q9-E001/MID_8_30,1,20260925,artifact,False,554,4,0.6042659787933357,0.6046931407942239,0.5928571428571429,0.7266187050359713,0.46715328467153283,0.6304347826086957
Q9-E001/MID_8_30,1,20260925,artifact,True,22,4,0.5672619047619047,0.5454545454545454,0.75,0.4,0.2857142857142857,0.8333333333333334
Q9-E001/MID_8_30,1,20260925,session,0train,288,4,0.59375,0.59375,0.5138888888888888,0.6666666666666666,0.5,0.6944444444444444
Q9-E001/MID_8_30,1,20260925,session,1test,288,4,0.6111111111111112,0.6111111111111112,0.6805555555555556,0.7638888888888888,0.4166666666666667,0.5833333333333334
Q9-E001/MID_8_30,1,20260926,artifact,False,554,4,0.619285977121191,0.6191335740072202,0.55,0.7913669064748201,0.7372262773722628,0.39855072463768115
Q9-E001/MID_8_30,1,20260926,artifact,True,22,4,0.5196428571428572,0.5,0.75,0.4,0.42857142857142855,0.5
Q9-E001/MID_8_30,1,20260926,session,0train,288,4,0.6111111111111112,0.6111111111111112,0.5416666666666666,0.7222222222222222,0.6527777777777778,0.5277777777777778
Q9-E001/MID_8_30,1,20260926,session,1test,288,4,0.6180555555555556,0.6180555555555556,0.5694444444444444,0.8333333333333334,0.7916666666666666,0.2777777777777778
Q9-E001/MID_8_30,2,20260924,artifact,False,553,4,0.2748188405797102,0.27486437613019893,0.782608695652174,0.16428571428571428,0.06666666666666667,0.08571428571428572
Q9-E001/MID_8_30,2,20260924,artifact,True,23,4,0.3541666666666667,0.391304347826087,0.8333333333333334,0.25,0.3333333333333333,0.0
Q9-E001/MID_8_30,2,20260924,session,0train,288,4,0.2916666666666667,0.2916666666666667,0.8333333333333334,0.2222222222222222,0.05555555555555555,0.05555555555555555
Q9-E001/MID_8_30,2,20260924,session,1test,288,4,0.2673611111111111,0.2673611111111111,0.7361111111111112,0.1111111111111111,0.1111111111111111,0.1111111111111111
Q9-E001/MID_8_30,2,20260925,artifact,False,553,4,0.284472049689441,0.28390596745027125,0.8188405797101449,0.18571428571428572,0.13333333333333333,0.0
Q9-E001/MID_8_30,2,20260925,artifact,True,23,4,0.4583333333333333,0.4782608695652174,1.0,0.5,0.3333333333333333,0.0
Q9-E001/MID_8_30,2,20260925,session,0train,288,4,0.30208333333333337,0.3020833333333333,0.8333333333333334,0.2361111111111111,0.1388888888888889,0.0
Q9-E001/MID_8_30,2,20260925,session,1test,288,4,0.28125,0.28125,0.8194444444444444,0.1527777777777778,0.1527777777777778,0.0
Q9-E001/MID_8_30,2,20260926,artifact,False,553,4,0.31815044858523117,0.32007233273056057,0.47101449275362317,0.7571428571428571,0.044444444444444446,0.0
Q9-E001/MID_8_30,2,20260926,artifact,True,23,4,0.375,0.30434782608695654,0.5,1.0,0.0,0.0
Q9-E001/MID_8_30,2,20260926,session,0train,288,4,0.3194444444444444,0.3194444444444444,0.5277777777777778,0.75,0.0,0.0
Q9-E001/MID_8_30,2,20260926,session,1test,288,4,0.3194444444444445,0.3194444444444444,0.4166666666666667,0.7777777777777778,0.08333333333333333,0.0
Q9-E001/MID_8_30,3,20260924,artifact,False,543,4,0.7402230994784531,0.7403314917127072,0.75,0.7536231884057971,0.7313432835820896,0.725925925925926
Q9-E001/MID_8_30,3,20260924,artifact,True,33,4,0.6222222222222222,0.6060606060606061,0.5,0.8333333333333334,0.6,0.5555555555555556
Q9-E001/MID_8_30,3,20260924,session,0train,288,4,0.7430555555555556,0.7430555555555556,0.8194444444444444,0.7777777777777778,0.75,0.625
Q9-E001/MID_8_30,3,20260924,session,1test,288,4,0.7222222222222222,0.7222222222222222,0.6527777777777778,0.7361111111111112,0.6944444444444444,0.8055555555555556
Q9-E001/MID_8_30,3,20260925,artifact,False,543,4,0.5827957576425913,0.58195211786372,0.4852941176470588,0.427536231884058,0.47761194029850745,0.9407407407407408
Q9-E001/MID_8_30,3,20260925,artifact,True,33,4,0.5125,0.5151515151515151,0.25,0.5,0.3,1.0
Q9-E001/MID_8_30,3,20260925,session,0train,288,4,0.6319444444444444,0.6319444444444444,0.5138888888888888,0.5138888888888888,0.5555555555555556,0.9444444444444444
Q9-E001/MID_8_30,3,20260925,session,1test,288,4,0.5243055555555556,0.5243055555555556,0.4305555555555556,0.3472222222222222,0.375,0.9444444444444444
Q9-E001/MID_8_30,3,20260926,artifact,False,543,4,0.755897171219775,0.7569060773480663,0.8161764705882353,0.8405797101449275,0.5223880597014925,0.8444444444444444
Q9-E001/MID_8_30,3,20260926,artifact,True,33,4,0.6541666666666667,0.6060606060606061,0.75,1.0,0.2,0.6666666666666666
Q9-E001/MID_8_30,3,20260926,session,0train,288,4,0.7534722222222222,0.7534722222222222,0.8333333333333334,0.9027777777777778,0.4861111111111111,0.7916666666666666
Q9-E001/MID_8_30,3,20260926,session,1test,288,4,0.7430555555555556,0.7430555555555556,0.7916666666666666,0.7916666666666666,0.5138888888888888,0.875
Q9-E001/MID_8_30,4,20260924,artifact,False,490,4,0.3244130696800181,0.32653061224489793,0.14049586776859505,0.9596774193548387,0.07142857142857142,0.12605042016806722
Q9-E001/MID_8_30,4,20260924,artifact,True,86,4,0.29527777777777775,0.27906976744186046,0.0,0.95,0.1111111111111111,0.12
Q9-E001/MID_8_30,4,20260924,session,0train,288,4,0.3263888888888889,0.3263888888888889,0.18055555555555555,0.9722222222222222,0.08333333333333333,0.06944444444444445
Q9-E001/MID_8_30,4,20260924,session,1test,288,4,0.3125,0.3125,0.05555555555555555,0.9444444444444444,0.06944444444444445,0.18055555555555555
Q9-E001/MID_8_30,4,20260925,artifact,False,490,4,0.3899268473940718,0.39387755102040817,0.2892561983471074,0.6854838709677419,0.48412698412698413,0.10084033613445378
Q9-E001/MID_8_30,4,20260925,artifact,True,86,4,0.32820048309178745,0.3023255813953488,0.17391304347826086,0.75,0.3888888888888889,0.0
Q9-E001/MID_8_30,4,20260925,session,0train,288,4,0.3784722222222222,0.3784722222222222,0.3611111111111111,0.6527777777777778,0.4444444444444444,0.05555555555555555
Q9-E001/MID_8_30,4,20260925,session,1test,288,4,0.3819444444444445,0.3819444444444444,0.18055555555555555,0.7361111111111112,0.5,0.1111111111111111
Q9-E001/MID_8_30,4,20260926,artifact,False,490,4,0.35903326495443105,0.3653061224489796,0.03305785123966942,0.6290322580645161,0.6984126984126984,0.07563025210084033
Q9-E001/MID_8_30,4,20260926,artifact,True,86,4,0.3491666666666667,0.313953488372093,0.0,0.65,0.6666666666666666,0.08
Q9-E001/MID_8_30,4,20260926,session,0train,288,4,0.3402777777777778,0.3402777777777778,0.027777777777777776,0.5416666666666666,0.7083333333333334,0.08333333333333333
Q9-E001/MID_8_30,4,20260926,session,1test,288,4,0.375,0.375,0.027777777777777776,0.7222222222222222,0.6805555555555556,0.06944444444444445
Q9-E001/MID_8_30,5,20260924,artifact,False,538,4,0.2501721861906675,0.24721189591078066,0.9548872180451128,0.04580152671755725,0.0,0.0
Q9-E001/MID_8_30,5,20260924,artifact,True,38,4,0.2692307692307692,0.3157894736842105,1.0,0.07692307692307693,0.0,0.0
