condition,subject,n_seeds,mean_seed_ba,seed_ba_range
Q9-A001/PSD44_LINEAR_SVM,1,1,0.4444444444444444,0.0
Q9-A001/PSD44_LINEAR_SVM,2,1,0.265625,0.0
Q9-A001/PSD44_LINEAR_SVM,3,1,0.4079861111111111,0.0
Q9-A001/PSD44_LINEAR_SVM,4,1,0.3663194444444444,0.0
Q9-A001/PSD44_LINEAR_SVM,5,1,0.25,0.0
Q9-A001/PSD44_LINEAR_SVM,6,1,0.28125,0.0
Q9-A001/PSD44_LINEAR_SVM,7,1,0.3055555555555556,0.0
Q9-A001/PSD44_LINEAR_SVM,8,1,0.43229166666666663,0.0
Q9-A001/PSD44_LINEAR_SVM,9,1,0.4670138888888889,0.0
Q4-E001/BroadCSP_LDA,1,1,0.3454861111111111,0.0
Q4-E001/BroadCSP_LDA,2,1,0.296875,0.0
Q4-E001/BroadCSP_LDA,3,1,0.5694444444444444,0.0
Q4-E001/BroadCSP_LDA,4,1,0.390625,0.0
Q4-E001/BroadCSP_LDA,5,1,0.2638888888888889,0.0
Q4-E001/BroadCSP_LDA,6,1,0.23958333333333334,0.0
Q4-E001/BroadCSP_LDA,7,1,0.2690972222222222,0.0
Q4-E001/BroadCSP_LDA,8,1,0.5833333333333334,0.0
Q4-E001/BroadCSP_LDA,9,1,0.5555555555555556,0.0
Q4-E001/BroadCSP_SVM,1,1,0.3194444444444444,0.0
Q4-E001/BroadCSP_SVM,2,1,0.2934027777777778,0.0
Q4-E001/BroadCSP_SVM,3,1,0.5347222222222222,0.0
Q4-E001/BroadCSP_SVM,4,1,0.3697916666666667,0.0
Q4-E001/BroadCSP_SVM,5,1,0.2673611111111111,0.0
Q4-E001/BroadCSP_SVM,6,1,0.2517361111111111,0.0
Q4-E001/BroadCSP_SVM,7,1,0.2621527777777778,0.0
Q4-E001/BroadCSP_SVM,8,1,0.5451388888888888,0.0
Q4-E001/BroadCSP_SVM,9,1,0.53125,0.0
Q4-E001/FBCSP_LDA,1,1,0.4826388888888889,0.0
Q4-E001/FBCSP_LDA,2,1,0.2847222222222222,0.0
Q4-E001/FBCSP_LDA,3,1,0.4618055555555555,0.0
Q4-E001/FBCSP_LDA,4,1,0.3940972222222222,0.0
Q4-E001/FBCSP_LDA,5,1,0.28125,0.0
Q4-E001/FBCSP_LDA,6,1,0.3611111111111111,0.0
Q4-E001/FBCSP_LDA,7,1,0.3125,0.0
Q4-E001/FBCSP_LDA,8,1,0.4565972222222222,0.0
Q4-E001/FBCSP_LDA,9,1,0.3958333333333333,0.0
Q4-E001/FBCSP_MI8_LDA,1,1,0.3506944444444444,0.0
Q4-E001/FBCSP_MI8_LDA,2,1,0.2690972222222222,0.0
Q4-E001/FBCSP_MI8_LDA,3,1,0.3559027777777778,0.0
Q4-E001/FBCSP_MI8_LDA,4,1,0.3090277777777778,0.0
Q4-E001/FBCSP_MI8_LDA,5,1,0.2569444444444444,0.0
Q4-E001/FBCSP_MI8_LDA,6,1,0.2690972222222222,0.0
Q4-E001/FBCSP_MI8_LDA,7,1,0.3263888888888889,0.0
Q4-E001/FBCSP_MI8_LDA,8,1,0.3767361111111111,0.0
Q4-E001/FBCSP_MI8_LDA,9,1,0.3090277777777778,0.0
