subject,model,balanced_accuracy
88,BROAD_EEGNET,0.4597701149425288
88,CSP4_LDA,0.5190886699507389
88,MU_BETA_SHARED,0.46592775041050905
89,BROAD_EEGNET,0.5793650793650794
89,CSP4_LDA,0.49107142857142855
89,MU_BETA_SHARED,0.6577380952380952
90,BROAD_EEGNET,0.6399868247694335
90,CSP4_LDA,0.47529644268774707
90,MU_BETA_SHARED,0.5457839262187089
91,BROAD_EEGNET,0.5540184453227932
91,CSP4_LDA,0.5
91,MU_BETA_SHARED,0.5843214756258234
92,BROAD_EEGNET,0.6907407407407407
92,CSP4_LDA,0.46296296296296297
92,MU_BETA_SHARED,0.6907407407407407
93,BROAD_EEGNET,0.7934782608695653
93,CSP4_LDA,0.6630434782608696
93,MU_BETA_SHARED,0.7710803689064559
94,BROAD_EEGNET,0.8642951251646904
94,CSP4_LDA,0.7381422924901186
94,MU_BETA_SHARED,0.9018445322793148
95,BROAD_EEGNET,0.5793807641633729
95,CSP4_LDA,0.516798418972332
95,MU_BETA_SHARED,0.5872859025032938
96,BROAD_EEGNET,0.6617259552042161
96,CSP4_LDA,0.6086956521739131
96,MU_BETA_SHARED,0.6907114624505929
97,BROAD_EEGNET,0.44894598155467724
97,CSP4_LDA,0.4782608695652174
97,MU_BETA_SHARED,0.4864953886693017
98,BROAD_EEGNET,0.560935441370224
98,CSP4_LDA,0.5217391304347826
98,MU_BETA_SHARED,0.508893280632411
99,BROAD_EEGNET,0.5079051383399209
99,CSP4_LDA,0.5859683794466404
99,MU_BETA_SHARED,0.45685111989459815
100,BROAD_EEGNET,0.611111111111111
100,CSP4_LDA,0.5
100,MU_BETA_SHARED,0.6203703703703703
101,BROAD_EEGNET,0.5408432147562582
101,CSP4_LDA,0.5
101,MU_BETA_SHARED,0.5862977602108037
102,BROAD_EEGNET,0.6666666666666666
102,CSP4_LDA,0.6235177865612648
102,MU_BETA_SHARED,0.6923583662714097
103,BROAD_EEGNET,0.6399868247694335
103,CSP4_LDA,0.49209486166007904
103,MU_BETA_SHARED,0.6389986824769434
104,BROAD_EEGNET,0.4761904761904762
104,CSP4_LDA,0.5335497835497836
104,MU_BETA_SHARED,0.48484848484848486
105,BROAD_EEGNET,0.6169301712779974
105,CSP4_LDA,0.44664031620553357
105,MU_BETA_SHARED,0.549407114624506
106,BROAD_EEGNET,0.6557539682539683
106,CSP4_LDA,0.5238095238095238
106,MU_BETA_SHARED,0.5902777777777778
107,BROAD_EEGNET,0.435515873015873
107,CSP4_LDA,0.5327380952380952
107,MU_BETA_SHARED,0.46230158730158727
108,BROAD_EEGNET,0.647562582345191
108,CSP4_LDA,0.5602766798418972
108,MU_BETA_SHARED,0.6465744400527008
109,BROAD_EEGNET,0.5
109,CSP4_LDA,0.5
109,MU_BETA_SHARED,0.5
