subject,BROAD_EEGNET_BA,MU_BETA_SHARED_BA,CSP4_LDA_BA,primary_difference_shared_minus_broad,native_rate_hz
45,0.6320816864295126,0.5708168642951251,0.6007905138339921,-0.06126482213438744,160
46,0.7193675889328063,0.69433465085639,0.5227272727272727,-0.025032938076416267,160
47,0.5694444444444445,0.5416666666666666,0.46130952380952384,-0.0277777777777779,160
48,0.6870882740447958,0.7078392621870883,0.5207509881422925,0.02075098814229248,160
49,0.5217391304347826,0.5579710144927535,0.7164031620553359,0.03623188405797095,160
50,0.5240447957839263,0.5233860342555995,0.5,-0.0006587615283267789,160
51,0.5158730158730158,0.5188492063492064,0.5,0.0029761904761905766,160
52,0.6984126984126983,0.7331349206349206,0.5,0.03472222222222232,160
53,0.5108695652173912,0.525691699604743,0.5,0.014822134387351804,160
54,0.7272727272727272,0.6989459815546772,0.5148221343873518,-0.02832674571804994,160
55,0.9110671936758893,0.8952569169960475,0.6877470355731226,-0.015810276679841806,160
56,0.6930171277997365,0.7658102766798419,0.5148221343873518,0.07279314888010546,160
57,0.5317460317460317,0.5029761904761905,0.5952380952380952,-0.02876984126984128,160
58,0.5416666666666666,0.548611111111111,0.5267857142857143,0.00694444444444442,160
59,0.4692460317460317,0.5128968253968255,0.5,0.04365079365079377,160
60,0.7938076416337285,0.7862318840579711,0.4782608695652174,-0.007575757575757458,160
61,0.7104743083003954,0.7091567852437418,0.7341897233201581,-0.0013175230566535578,160
62,0.9094202898550726,0.9097496706192358,0.45652173913043476,0.00032938076416322293,160
63,0.538866930171278,0.5704874835309618,0.5642292490118577,0.031620553359683834,160
64,0.6189064558629775,0.652832674571805,0.5187747035573123,0.033926218708827505,160
65,0.689484126984127,0.7559523809523809,0.6339285714285714,0.06646825396825395,160
66,0.5471014492753623,0.5615942028985507,0.5523715415019763,0.01449275362318836,160
67,0.49571805006587616,0.5052700922266139,0.5217391304347826,0.00955204216073774,160
68,0.6623847167325428,0.6854413702239789,0.5,0.02305665349143604,160
69,0.5486111111111112,0.5446428571428571,0.4791666666666667,-0.003968253968254065,160
70,0.5652173913043478,0.5289855072463768,0.5207509881422925,-0.03623188405797095,160
71,0.8254281949934125,0.7819499341238472,0.607707509881423,-0.0434782608695653,160
72,0.8787878787878788,0.9094202898550724,0.6709486166007905,0.03063241106719361,160
73,0.5806982872200264,0.5559947299077733,0.6373517786561265,-0.024703557312253044,160
74,0.5694444444444445,0.5307539682539683,0.44047619047619047,-0.038690476190476275,160
75,0.780961791831357,0.712121212121212,0.5,-0.06884057971014501,160
76,0.44235836627140973,0.5424901185770751,0.5,0.10013175230566534,160
77,0.621031746031746,0.6259920634920634,0.5565476190476191,0.004960317460317332,160
78,0.575098814229249,0.5836627140974967,0.5237154150197628,0.008563899868247682,160
79,0.5823451910408433,0.5662055335968379,0.6067193675889329,-0.016139657444005362,160
80,0.5945322793148881,0.5872859025032938,0.5227272727272727,-0.007246376811594235,160
81,0.5217391304347826,0.5072463768115942,0.5,-0.01449275362318836,160
82,0.6080368906455863,0.6294466403162056,0.5,0.02140974967061926,160
83,0.6778656126482213,0.7302371541501976,0.6709486166007905,0.052371541501976315,160
84,0.6254940711462451,0.6706192358366271,0.5,0.04512516469038197,160
85,0.955862977602108,0.9706851119894598,0.6956521739130435,0.014822134387351804,160
86,0.5770750988142292,0.591897233201581,0.5,0.014822134387351804,160
87,0.4627799736495389,0.4884716732542819,0.5859683794466404,0.025691699604743046,160
88,0.4597701149425288,0.46592775041050905,0.5190886699507389,0.00615763546798026,128
89,0.5793650793650794,0.6577380952380952,0.49107142857142855,0.07837301587301582,160
90,0.6399868247694335,0.5457839262187089,0.47529644268774707,-0.09420289855072461,160
91,0.5540184453227932,0.5843214756258234,0.5,0.030303030303030165,160
92,0.6907407407407407,0.6907407407407407,0.46296296296296297,0.0,128
93,0.7934782608695653,0.7710803689064559,0.6630434782608696,-0.022397891963109373,160
94,0.8642951251646904,0.9018445322793148,0.7381422924901186,0.0375494071146244,160
95,0.5793807641633729,0.5872859025032938,0.516798418972332,0.007905138339920903,160
96,0.6617259552042161,0.6907114624505929,0.6086956521739131,0.02898550724637683,160
97,0.44894598155467724,0.4864953886693017,0.4782608695652174,0.037549407114624456,160
98,0.560935441370224,0.508893280632411,0.5217391304347826,-0.05204216073781298,160
99,0.5079051383399209,0.45685111989459815,0.5859683794466404,-0.05105401844532276,160
100,0.611111111111111,0.6203703703703703,0.5,0.0092592592592593,128
101,0.5408432147562582,0.5862977602108037,0.5,0.045454545454545525,160
102,0.6666666666666666,0.6923583662714097,0.6235177865612648,0.025691699604743046,160
103,0.6399868247694335,0.6389986824769434,0.49209486166007904,-0.0009881422924901129,160
104,0.4761904761904762,0.48484848484848486,0.5335497835497836,0.008658008658008642,160
105,0.6169301712779974,0.549407114624506,0.44664031620553357,-0.06752305665349145,160
106,0.6557539682539683,0.5902777777777778,0.5238095238095238,-0.06547619047619047,160
107,0.435515873015873,0.46230158730158727,0.5327380952380952,0.026785714285714246,160
108,0.647562582345191,0.6465744400527008,0.5602766798418972,-0.000988142292490224,160
109,0.5,0.5,0.5,0.0,160
