subject,model,seed,n_trials,balanced_accuracy,true_left_pred_left,true_left_pred_right,true_right_pred_left,true_right_pred_right,predicted_left_share
13,MU_BETA_SHARED,20260926,45,0.6521739130434783,7,16,0,22,0.15555555555555556
14,BROAD_EEGNET,20260924,45,0.6037549407114624,17,5,13,10,0.6666666666666666
14,BROAD_EEGNET,20260925,45,0.5592885375494071,16,6,14,9,0.6666666666666666
14,BROAD_EEGNET,20260926,45,0.5355731225296443,14,8,13,10,0.6
14,CSP4_LDA,deterministic,45,0.44664031620553357,12,10,15,8,0.6
14,MU_BETA_SHARED,20260924,45,0.6037549407114624,17,5,13,10,0.6666666666666666
14,MU_BETA_SHARED,20260925,45,0.6254940711462451,17,5,12,11,0.6444444444444445
14,MU_BETA_SHARED,20260926,45,0.6037549407114624,17,5,13,10,0.6666666666666666
15,BROAD_EEGNET,20260924,45,0.7608695652173914,12,11,0,22,0.26666666666666666
15,BROAD_EEGNET,20260925,45,0.8260869565217391,15,8,0,22,0.3333333333333333
15,BROAD_EEGNET,20260926,45,0.6521739130434783,7,16,0,22,0.15555555555555556
15,CSP4_LDA,deterministic,45,0.5385375494071146,7,16,5,17,0.26666666666666666
15,MU_BETA_SHARED,20260924,45,0.8478260869565217,16,7,0,22,0.35555555555555557
15,MU_BETA_SHARED,20260925,45,0.825098814229249,16,7,1,21,0.37777777777777777
15,MU_BETA_SHARED,20260926,45,0.7598814229249011,13,10,1,21,0.3111111111111111
16,BROAD_EEGNET,20260924,45,0.6413043478260869,11,11,5,18,0.35555555555555557
16,BROAD_EEGNET,20260925,45,0.6660079051383399,14,8,7,16,0.4666666666666667
16,BROAD_EEGNET,20260926,45,0.5701581027667983,5,17,2,21,0.15555555555555556
16,CSP4_LDA,deterministic,45,0.6254940711462451,17,5,12,11,0.6444444444444445
16,MU_BETA_SHARED,20260924,45,0.708498023715415,13,9,4,19,0.37777777777777777
16,MU_BETA_SHARED,20260925,45,0.7312252964426877,14,8,4,19,0.4
16,MU_BETA_SHARED,20260926,45,0.6877470355731226,14,8,6,17,0.4444444444444444
17,BROAD_EEGNET,20260924,45,0.5345849802371542,11,12,9,13,0.4444444444444444
17,BROAD_EEGNET,20260925,45,0.5612648221343874,7,16,4,18,0.24444444444444444
17,BROAD_EEGNET,20260926,45,0.5820158102766798,9,14,5,17,0.3111111111111111
17,CSP4_LDA,deterministic,45,0.5,23,0,22,0,1.0
17,MU_BETA_SHARED,20260924,45,0.4891304347826087,11,12,11,11,0.4888888888888889
17,MU_BETA_SHARED,20260925,45,0.5800395256916996,11,12,7,15,0.4
17,MU_BETA_SHARED,20260926,45,0.6511857707509882,8,15,1,21,0.2
18,BROAD_EEGNET,20260924,45,0.4169960474308301,4,18,8,15,0.26666666666666666
18,BROAD_EEGNET,20260925,45,0.5009881422924901,1,21,1,22,0.044444444444444446
18,BROAD_EEGNET,20260926,45,0.4782608695652174,0,22,1,22,0.022222222222222223
18,CSP4_LDA,deterministic,45,0.5,22,0,23,0,1.0
18,MU_BETA_SHARED,20260924,45,0.5296442687747036,8,14,7,16,0.3333333333333333
18,MU_BETA_SHARED,20260925,45,0.47924901185770746,1,21,2,21,0.06666666666666667
18,MU_BETA_SHARED,20260926,45,0.48122529644268774,3,19,4,19,0.15555555555555556
19,BROAD_EEGNET,20260924,45,0.6294466403162056,7,16,1,21,0.17777777777777778
19,BROAD_EEGNET,20260925,45,0.650197628458498,9,14,2,20,0.24444444444444444
19,BROAD_EEGNET,20260926,45,0.6956521739130435,9,14,0,22,0.2
19,CSP4_LDA,deterministic,45,0.4199604743083004,12,11,15,7,0.6
19,MU_BETA_SHARED,20260924,45,0.5434782608695652,2,21,0,22,0.044444444444444446
19,MU_BETA_SHARED,20260925,45,0.6729249011857708,9,14,1,21,0.2222222222222222
19,MU_BETA_SHARED,20260926,45,0.6521739130434783,7,16,0,22,0.15555555555555556
2,BROAD_EEGNET,20260924,45,0.9328063241106719,22,1,2,20,0.5333333333333333
2,BROAD_EEGNET,20260925,45,0.8873517786561265,22,1,4,18,0.5777777777777777
2,BROAD_EEGNET,20260926,45,0.9318181818181819,23,0,3,19,0.5777777777777777
2,CSP4_LDA,deterministic,45,0.591897233201581,22,1,17,5,0.8666666666666667
2,MU_BETA_SHARED,20260924,45,0.9337944664031621,21,2,1,21,0.4888888888888889
2,MU_BETA_SHARED,20260925,45,0.9110671936758893,21,2,2,20,0.5111111111111111
2,MU_BETA_SHARED,20260926,45,0.9100790513833992,22,1,3,19,0.5555555555555556
20,BROAD_EEGNET,20260924,45,0.48814229249011853,12,11,12,10,0.5333333333333333
20,BROAD_EEGNET,20260925,45,0.39920948616600793,10,13,14,8,0.5333333333333333
20,BROAD_EEGNET,20260926,45,0.558300395256917,10,13,7,15,0.37777777777777777
20,CSP4_LDA,deterministic,45,0.5345849802371542,11,12,9,13,0.4444444444444444
20,MU_BETA_SHARED,20260924,45,0.4426877470355731,12,11,14,8,0.5777777777777777
20,MU_BETA_SHARED,20260925,45,0.4891304347826087,11,12,11,11,0.4888888888888889
20,MU_BETA_SHARED,20260926,45,0.48221343873517786,18,5,18,4,0.8
21,BROAD_EEGNET,20260924,45,0.6785714285714286,12,12,3,18,0.3333333333333333
21,BROAD_EEGNET,20260925,45,0.5803571428571428,5,19,1,20,0.13333333333333333
21,BROAD_EEGNET,20260926,45,0.6785714285714286,12,12,3,18,0.3333333333333333
21,CSP4_LDA,deterministic,45,0.6041666666666666,5,19,0,21,0.1111111111111111
21,MU_BETA_SHARED,20260924,45,0.6428571428571428,16,8,8,13,0.5333333333333333
21,MU_BETA_SHARED,20260925,45,0.6011904761904763,14,10,8,13,0.4888888888888889
21,MU_BETA_SHARED,20260926,45,0.8720238095238095,19,5,1,20,0.4444444444444444
22,BROAD_EEGNET,20260924,45,0.5701581027667983,5,17,2,21,0.15555555555555556
22,BROAD_EEGNET,20260925,45,0.5029644268774703,3,19,3,20,0.13333333333333333
22,BROAD_EEGNET,20260926,45,0.5731225296442688,8,14,5,18,0.28888888888888886
22,CSP4_LDA,deterministic,45,0.5207509881422925,21,1,21,2,0.9333333333333333
22,MU_BETA_SHARED,20260924,45,0.5247035573122529,3,19,2,21,0.1111111111111111
22,MU_BETA_SHARED,20260925,45,0.525691699604743,4,18,3,20,0.15555555555555556
22,MU_BETA_SHARED,20260926,45,0.48122529644268774,3,19,4,19,0.15555555555555556
23,BROAD_EEGNET,20260924,45,0.6413043478260869,11,11,5,18,0.35555555555555557
23,BROAD_EEGNET,20260925,45,0.5523715415019763,9,13,7,16,0.35555555555555557
23,BROAD_EEGNET,20260926,45,0.5503952569169961,7,15,5,18,0.26666666666666666
23,CSP4_LDA,deterministic,45,0.6660079051383399,14,8,7,16,0.4666666666666667
23,MU_BETA_SHARED,20260924,45,0.708498023715415,13,9,4,19,0.37777777777777777
23,MU_BETA_SHARED,20260925,45,0.5968379446640316,10,12,6,17,0.35555555555555557
23,MU_BETA_SHARED,20260926,45,0.6610671936758893,9,13,2,21,0.24444444444444444
24,BROAD_EEGNET,20260924,45,0.5,0,22,0,23,0.0
24,BROAD_EEGNET,20260925,45,0.5,0,22,0,23,0.0
24,BROAD_EEGNET,20260926,45,0.5,0,22,0,23,0.0
24,CSP4_LDA,deterministic,45,0.5,22,0,23,0,1.0
24,MU_BETA_SHARED,20260924,45,0.5,0,22,0,23,0.0
24,MU_BETA_SHARED,20260925,45,0.5,0,22,0,23,0.0
24,MU_BETA_SHARED,20260926,45,0.5,0,22,0,23,0.0
25,BROAD_EEGNET,20260924,45,0.6136363636363636,5,17,0,23,0.1111111111111111
25,BROAD_EEGNET,20260925,45,0.5227272727272727,1,21,0,23,0.022222222222222223
25,BROAD_EEGNET,20260926,45,0.5227272727272727,1,21,0,23,0.022222222222222223
25,CSP4_LDA,deterministic,45,0.516798418972332,17,5,17,6,0.7555555555555555
25,MU_BETA_SHARED,20260924,45,0.591897233201581,5,17,1,22,0.13333333333333333
25,MU_BETA_SHARED,20260925,45,0.5227272727272727,1,21,0,23,0.022222222222222223
25,MU_BETA_SHARED,20260926,45,0.5454545454545454,2,20,0,23,0.044444444444444446
26,BROAD_EEGNET,20260924,45,0.7023809523809523,12,12,2,19,0.3111111111111111
26,BROAD_EEGNET,20260925,45,0.6428571428571428,8,16,1,20,0.2
26,BROAD_EEGNET,20260926,45,0.6666666666666666,8,16,0,21,0.17777777777777778
26,CSP4_LDA,deterministic,45,0.5,0,24,0,21,0.0
26,MU_BETA_SHARED,20260924,45,0.8273809523809523,18,6,2,19,0.4444444444444444
26,MU_BETA_SHARED,20260925,45,0.6875,9,15,0,21,0.2
26,MU_BETA_SHARED,20260926,45,0.7440476190476191,14,10,2,19,0.35555555555555557
27,BROAD_EEGNET,20260924,45,0.4486166007905138,6,17,8,14,0.3111111111111111
27,BROAD_EEGNET,20260925,45,0.4940711462450593,6,17,6,16,0.26666666666666666
27,BROAD_EEGNET,20260926,45,0.49308300395256915,7,16,7,15,0.3111111111111111
27,CSP4_LDA,deterministic,45,0.5602766798418972,8,15,5,17,0.28888888888888886
27,MU_BETA_SHARED,20260924,45,0.4051383399209486,4,19,8,14,0.26666666666666666
27,MU_BETA_SHARED,20260925,45,0.5158102766798419,7,16,6,16,0.28888888888888886
27,MU_BETA_SHARED,20260926,45,0.4713438735177865,6,17,7,15,0.28888888888888886
28,BROAD_EEGNET,20260924,45,0.5859683794466404,21,1,18,5,0.8666666666666667
28,BROAD_EEGNET,20260925,45,0.5830039525691699,18,4,15,8,0.7333333333333333
28,BROAD_EEGNET,20260926,45,0.5385375494071146,17,5,16,7,0.7333333333333333
28,CSP4_LDA,deterministic,45,0.43675889328063244,2,20,5,18,0.15555555555555556
28,MU_BETA_SHARED,20260924,45,0.6057312252964426,19,3,15,8,0.7555555555555555
28,MU_BETA_SHARED,20260925,45,0.5602766798418972,17,5,15,8,0.7111111111111111
28,MU_BETA_SHARED,20260926,45,0.5612648221343874,18,4,16,7,0.7555555555555555
29,BROAD_EEGNET,20260924,45,0.9555335968379447,22,1,1,21,0.5111111111111111
29,BROAD_EEGNET,20260925,45,0.9555335968379447,22,1,1,21,0.5111111111111111
29,BROAD_EEGNET,20260926,45,0.9130434782608696,19,4,0,22,0.4222222222222222
29,CSP4_LDA,deterministic,45,0.8191699604743083,22,1,7,15,0.6444444444444445
29,MU_BETA_SHARED,20260924,45,0.9565217391304348,21,2,0,22,0.4666666666666667
29,MU_BETA_SHARED,20260925,45,0.9565217391304348,21,2,0,22,0.4666666666666667
29,MU_BETA_SHARED,20260926,45,0.9782608695652174,22,1,0,22,0.4888888888888889
3,BROAD_EEGNET,20260924,45,0.42292490118577075,9,14,12,10,0.4666666666666667
