subject,model,stratum,n_trials,n_classes_present,balanced_accuracy,accuracy,macro_f1,cohen_kappa,recall_class_1,recall_class_2,recall_class_3,recall_class_4
3,PSD44_LDA,unflagged,543,4,0.4064911836102239,0.4051565377532228,0.3685602422294306,0.2080259010737927,0.2205882352941176,0.1884057971014492,0.291044776119403,0.925925925925926
3,PSD44_LDA,flagged,33,4,0.4229166666666666,0.4545454545454545,0.3729355716878403,0.2490518331226295,0.125,0.1666666666666666,0.4,1.0
3,PSD44_LINEAR_SVM,all,576,4,0.4079861111111111,0.4079861111111111,0.3765425086714292,0.2106481481481481,0.25,0.2222222222222222,0.2847222222222222,0.875
3,PSD44_LINEAR_SVM,unflagged,543,4,0.4006786718581008,0.3996316758747698,0.3685101079686365,0.2004859828280045,0.25,0.217391304347826,0.2686567164179104,0.8666666666666667
3,PSD44_LINEAR_SVM,flagged,33,4,0.5208333333333333,0.5454545454545454,0.4964646464646465,0.3804755944931164,0.25,0.3333333333333333,0.5,1.0
4,PSD44_LDA,all,576,4,0.3663194444444444,0.3663194444444444,0.3306589992553377,0.1550925925925925,0.3333333333333333,0.6875,0.0763888888888889,0.3680555555555556
4,PSD44_LDA,unflagged,490,4,0.3708636458226764,0.3693877551020408,0.3333081274776157,0.1599860191847852,0.3388429752066115,0.6693548387096774,0.0634920634920634,0.4117647058823529
4,PSD44_LDA,flagged,86,4,0.3577536231884058,0.3488372093023256,0.3172977764982352,0.1331893448524118,0.3043478260869565,0.8,0.1666666666666666,0.16
4,PSD44_LINEAR_SVM,all,576,4,0.3663194444444444,0.3663194444444444,0.3384498767037882,0.1550925925925925,0.4444444444444444,0.6180555555555556,0.0902777777777777,0.3125
4,PSD44_LINEAR_SVM,unflagged,490,4,0.370856489312156,0.3693877551020408,0.3426445428104552,0.1596643319384165,0.4462809917355372,0.6048387096774194,0.0793650793650793,0.3529411764705882
4,PSD44_LINEAR_SVM,flagged,86,4,0.3553623188405796,0.3488372093023256,0.3166107087996489,0.1333453302141443,0.4347826086956521,0.7,0.1666666666666666,0.12
5,PSD44_LDA,all,576,4,0.2552083333333333,0.2552083333333333,0.1514430290264874,0.0069444444444444,0.875,0.1180555555555555,0.0277777777777777,0.0
5,PSD44_LDA,unflagged,538,4,0.2539174437920223,0.2509293680297397,0.1493133655365206,0.0052441536633371,0.8721804511278195,0.1145038167938931,0.0289855072463768,0.0
5,PSD44_LDA,flagged,38,4,0.2657342657342657,0.3157894736842105,0.171195652173913,0.0313725490196078,0.9090909090909092,0.1538461538461538,0.0,0.0
5,PSD44_LINEAR_SVM,all,576,4,0.25,0.25,0.1380542986425339,0.0,0.8958333333333334,0.0833333333333333,0.0208333333333333,0.0
5,PSD44_LINEAR_SVM,unflagged,538,4,0.2482029626006603,0.2453531598513011,0.1347839873660319,-0.0021655747031512,0.8947368421052632,0.0763358778625954,0.0217391304347826,0.0
5,PSD44_LINEAR_SVM,flagged,38,4,0.2657342657342657,0.3157894736842105,0.171195652173913,0.0313725490196078,0.9090909090909092,0.1538461538461538,0.0,0.0
6,PSD44_LDA,all,576,4,0.2777777777777778,0.2777777777777778,0.2554031613062681,0.037037037037037,0.0625,0.2222222222222222,0.3263888888888889,0.5
6,PSD44_LDA,unflagged,434,4,0.2791669968269906,0.2788018433179723,0.2554155288288325,0.0397754985191102,0.055045871559633,0.2321428571428571,0.3203883495145631,0.509090909090909
6,PSD44_LDA,flagged,142,4,0.2713164839106374,0.2746478873239437,0.2529810444993934,0.0292048320722154,0.0857142857142857,0.1875,0.3414634146341463,0.4705882352941176
6,PSD44_LINEAR_SVM,all,576,4,0.28125,0.28125,0.2617610567416958,0.0416666666666666,0.0625,0.2430555555555555,0.3611111111111111,0.4583333333333333
6,PSD44_LINEAR_SVM,unflagged,434,4,0.2843618670898888,0.2834101382488479,0.2577378023252699,0.046133623553024,0.036697247706422,0.25,0.3689320388349514,0.4818181818181818
