fold,subject,seed,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa
loso_s2,2,20260926,EEGNet,unflagged,4608,553,4,0.25,0.2495479204339963,0.0998552821997105,0.062386980108499,0.25,0.0
loso_s2,2,20260926,EEGNet,flagged,4608,23,4,0.25,0.2608695652173913,0.1034482758620689,0.0652173913043478,0.25,0.0
loso_s3,3,20260924,EEGNet,all,4608,576,4,0.6440972222222222,0.6440972222222222,0.6207818857240895,0.6852357169582761,0.6440972222222222,0.525462962962963
loso_s3,3,20260924,EEGNet,unflagged,4608,543,4,0.6432844745440176,0.6445672191528545,0.6214958058034574,0.6922123912989792,0.6432844745440176,0.5259122205433966
loso_s3,3,20260924,EEGNet,flagged,4608,33,4,0.6784722222222221,0.6363636363636364,0.6160714285714285,0.6202380952380953,0.6784722222222221,0.5199999999999999
loso_s3,3,20260925,EEGNet,all,4608,576,4,0.5694444444444444,0.5694444444444444,0.5718030983626086,0.716836851423069,0.5694444444444444,0.4259259259259259
loso_s3,3,20260925,EEGNet,unflagged,4608,543,4,0.5697330783564417,0.569060773480663,0.5723572137526216,0.7167312048958504,0.5697330783564417,0.4259030837004405
loso_s3,3,20260925,EEGNet,flagged,4608,33,4,0.5645833333333333,0.5757575757575758,0.5605616605616606,0.7113095238095237,0.5645833333333333,0.423940149625935
loso_s3,3,20260926,EEGNet,all,4608,576,4,0.7621527777777778,0.7621527777777778,0.7579927473841948,0.760443824183816,0.7621527777777778,0.6828703703703703
loso_s3,3,20260926,EEGNet,unflagged,4608,543,4,0.7723126870619905,0.7734806629834254,0.7693672387282617,0.7711963176517985,0.7723126870619905,0.6978365515119709
loso_s3,3,20260926,EEGNet,flagged,4608,33,4,0.6263888888888889,0.5757575757575758,0.5766447368421053,0.5915750915750916,0.6263888888888889,0.4447115384615384
loso_s4,4,20260924,EEGNet,all,4608,576,4,0.3732638888888889,0.3732638888888889,0.3451656558641384,0.392463990211637,0.3732638888888889,0.1643518518518518
loso_s4,4,20260924,EEGNet,unflagged,4608,490,4,0.3708259030084974,0.3714285714285714,0.3437100112948086,0.3831496805886566,0.3708259030084974,0.1611314609052354
loso_s4,4,20260924,EEGNet,flagged,4608,86,4,0.3926207729468599,0.3837209302325581,0.3528985918691801,0.5069326542161856,0.3926207729468599,0.1860714285714285
loso_s4,4,20260925,EEGNet,all,4608,576,4,0.3559027777777778,0.3559027777777778,0.2986263173742848,0.3727007222477455,0.3559027777777778,0.1412037037037037
loso_s4,4,20260925,EEGNet,unflagged,4608,490,4,0.3545460239547698,0.3591836734693877,0.304689455617426,0.3805373466046469,0.3545460239547698,0.1414637412673257
