condition,subject,seed,balanced_accuracy,selected_epochs,zero_recall_classes,dominant_prediction_share,recall_class_1,recall_class_2,recall_class_3,recall_class_4
FOUR_BAND_SHARED,7,20260926,0.296875,6,0,0.8159722222222222,0.013888888888888888,0.9097222222222222,0.10416666666666667,0.1597222222222222
FOUR_BAND_SHARED,8,20260924,0.5121527777777778,7,0,0.4166666666666667,0.0625,0.8333333333333334,0.4513888888888889,0.7013888888888888
FOUR_BAND_SHARED,8,20260925,0.5399305555555556,7,0,0.46875,0.4930555555555556,0.9027777777777778,0.06944444444444445,0.6944444444444444
FOUR_BAND_SHARED,8,20260926,0.579861111111111,7,0,0.4236111111111111,0.5763888888888888,0.9305555555555556,0.5486111111111112,0.2638888888888889
FOUR_BAND_SHARED,9,20260924,0.5,8,0,0.3888888888888889,0.5902777777777778,0.3194444444444444,0.375,0.7152777777777778
FOUR_BAND_SHARED,9,20260925,0.5052083333333334,8,0,0.453125,0.6666666666666666,0.3194444444444444,0.19444444444444445,0.8402777777777778
FOUR_BAND_SHARED,9,20260926,0.49479166666666663,8,0,0.3888888888888889,0.5486111111111112,0.375,0.2638888888888889,0.7916666666666666
TWO_BAND_INDEPENDENT,1,20260924,0.5694444444444444,20,0,0.5364583333333334,0.5694444444444444,0.7777777777777778,0.8680555555555556,0.0625
TWO_BAND_INDEPENDENT,1,20260925,0.579861111111111,20,0,0.3645833333333333,0.7847222222222222,0.7430555555555556,0.6736111111111112,0.11805555555555555
TWO_BAND_INDEPENDENT,1,20260926,0.6284722222222223,20,0,0.4184027777777778,0.875,0.7222222222222222,0.3680555555555556,0.5486111111111112
TWO_BAND_INDEPENDENT,2,20260924,0.265625,15,1,0.8767361111111112,0.8819444444444444,0.13194444444444445,0.04861111111111111,0.0
TWO_BAND_INDEPENDENT,2,20260925,0.3125,15,0,0.4079861111111111,0.5347222222222222,0.1111111111111111,0.4375,0.16666666666666666
TWO_BAND_INDEPENDENT,2,20260926,0.3003472222222222,15,0,0.6180555555555556,0.7013888888888888,0.11805555555555555,0.375,0.006944444444444444
TWO_BAND_INDEPENDENT,3,20260924,0.6996527777777778,7,0,0.3402777777777778,0.8958333333333334,0.6805555555555556,0.7083333333333334,0.5138888888888888
TWO_BAND_INDEPENDENT,3,20260925,0.6510416666666666,7,0,0.3784722222222222,0.8541666666666666,0.8888888888888888,0.041666666666666664,0.8194444444444444
TWO_BAND_INDEPENDENT,3,20260926,0.609375,7,0,0.375,0.5833333333333334,0.4375,0.6666666666666666,0.75
TWO_BAND_INDEPENDENT,4,20260924,0.3090277777777778,7,0,0.6927083333333334,0.05555555555555555,0.3888888888888889,0.7430555555555556,0.04861111111111111
TWO_BAND_INDEPENDENT,4,20260925,0.3541666666666667,7,0,0.6753472222222222,0.08333333333333333,0.9444444444444444,0.2222222222222222,0.16666666666666666
TWO_BAND_INDEPENDENT,4,20260926,0.3229166666666667,7,0,0.7534722222222222,0.006944444444444444,0.3680555555555556,0.875,0.041666666666666664
TWO_BAND_INDEPENDENT,5,20260924,0.2482638888888889,10,2,0.6614583333333334,0.6458333333333334,0.3472222222222222,0.0,0.0
TWO_BAND_INDEPENDENT,5,20260925,0.24479166666666669,10,2,0.6961805555555556,0.7083333333333334,0.2708333333333333,0.0,0.0
TWO_BAND_INDEPENDENT,5,20260926,0.25,10,1,0.9652777777777778,0.027777777777777776,0.9652777777777778,0.006944444444444444,0.0
TWO_BAND_INDEPENDENT,6,20260924,0.2777777777777778,14,0,0.6180555555555556,0.0763888888888889,0.05555555555555555,0.6527777777777778,0.3263888888888889
TWO_BAND_INDEPENDENT,6,20260925,0.2725694444444444,14,0,0.6649305555555556,0.04861111111111111,0.04861111111111111,0.6458333333333334,0.3472222222222222
TWO_BAND_INDEPENDENT,6,20260926,0.2760416666666667,14,0,0.6371527777777778,0.10416666666666667,0.13194444444444445,0.1875,0.6805555555555556
