condition,subject,seed,artifact_flagged,n_trials,n_true_classes,balanced_accuracy_present_classes
TWO_BAND_EARLY_STACK,5,20260924,False,538,4,0.25595477242725134
TWO_BAND_EARLY_STACK,5,20260924,True,38,4,0.3076923076923077
TWO_BAND_EARLY_STACK,5,20260925,False,538,4,0.2656115479538541
TWO_BAND_EARLY_STACK,5,20260925,True,38,4,0.28496503496503495
TWO_BAND_EARLY_STACK,5,20260926,False,538,4,0.23598117430982035
TWO_BAND_EARLY_STACK,5,20260926,True,38,4,0.19930069930069932
TWO_BAND_EARLY_STACK,6,20260924,False,434,4,0.2930561933835293
TWO_BAND_EARLY_STACK,6,20260924,True,142,4,0.21326635837261734
TWO_BAND_EARLY_STACK,6,20260925,False,434,4,0.2841668941639994
TWO_BAND_EARLY_STACK,6,20260925,True,142,4,0.2815728120516499
TWO_BAND_EARLY_STACK,6,20260926,False,434,4,0.29988701648623045
TWO_BAND_EARLY_STACK,6,20260926,True,142,4,0.22624032844845254
TWO_BAND_EARLY_STACK,7,20260924,False,548,4,0.27662176616476836
TWO_BAND_EARLY_STACK,7,20260924,True,28,4,0.3551587301587301
TWO_BAND_EARLY_STACK,7,20260925,False,548,4,0.3276120455587292
TWO_BAND_EARLY_STACK,7,20260925,True,28,4,0.39880952380952384
TWO_BAND_EARLY_STACK,7,20260926,False,548,4,0.2875436369406537
TWO_BAND_EARLY_STACK,7,20260926,True,28,4,0.38293650793650796
TWO_BAND_EARLY_STACK,8,20260924,False,535,4,0.6505086457563816
TWO_BAND_EARLY_STACK,8,20260924,True,41,4,0.46098484848484844
TWO_BAND_EARLY_STACK,8,20260925,False,535,4,0.6635792305210308
TWO_BAND_EARLY_STACK,8,20260925,True,41,4,0.5636363636363637
TWO_BAND_EARLY_STACK,8,20260926,False,535,4,0.5315120486886464
TWO_BAND_EARLY_STACK,8,20260926,True,41,4,0.5079545454545454
TWO_BAND_EARLY_STACK,9,20260924,False,501,4,0.5926738714146024
TWO_BAND_EARLY_STACK,9,20260924,True,75,4,0.5582164545980335
TWO_BAND_EARLY_STACK,9,20260925,False,501,4,0.5804046813885267
TWO_BAND_EARLY_STACK,9,20260925,True,75,4,0.6105317379988433
TWO_BAND_EARLY_STACK,9,20260926,False,501,4,0.6168447278357236
TWO_BAND_EARLY_STACK,9,20260926,True,75,4,0.6801980913823018
BROAD_CAPACITY_MATCHED,1,20260924,False,554,4,0.6109811493417588
BROAD_CAPACITY_MATCHED,1,20260924,True,22,4,0.43392857142857144
BROAD_CAPACITY_MATCHED,1,20260925,False,554,4,0.5251158867982008
BROAD_CAPACITY_MATCHED,1,20260925,True,22,4,0.47797619047619044
BROAD_CAPACITY_MATCHED,1,20260926,False,554,4,0.5582418546280081
BROAD_CAPACITY_MATCHED,1,20260926,True,22,4,0.5517857142857143
BROAD_CAPACITY_MATCHED,2,20260924,False,553,4,0.3019438693351737
BROAD_CAPACITY_MATCHED,2,20260924,True,23,4,0.41666666666666663
BROAD_CAPACITY_MATCHED,2,20260925,False,553,4,0.2814412238325282
BROAD_CAPACITY_MATCHED,2,20260925,True,23,4,0.5486111111111112
BROAD_CAPACITY_MATCHED,2,20260926,False,553,4,0.2939210950080515
BROAD_CAPACITY_MATCHED,2,20260926,True,23,4,0.5208333333333334
BROAD_CAPACITY_MATCHED,3,20260924,False,543,4,0.5373410724156993
BROAD_CAPACITY_MATCHED,3,20260924,True,33,4,0.55
BROAD_CAPACITY_MATCHED,3,20260925,False,543,4,0.6138197634306444
BROAD_CAPACITY_MATCHED,3,20260925,True,33,4,0.59375
BROAD_CAPACITY_MATCHED,3,20260926,False,543,4,0.5541195079589266
BROAD_CAPACITY_MATCHED,3,20260926,True,33,4,0.5604166666666667
BROAD_CAPACITY_MATCHED,4,20260924,False,490,4,0.40535927114114106
BROAD_CAPACITY_MATCHED,4,20260924,True,86,4,0.35782608695652174
BROAD_CAPACITY_MATCHED,4,20260925,False,490,4,0.323056646456681
BROAD_CAPACITY_MATCHED,4,20260925,True,86,4,0.3659420289855072
BROAD_CAPACITY_MATCHED,4,20260926,False,490,4,0.3131690248302289
BROAD_CAPACITY_MATCHED,4,20260926,True,86,4,0.3536835748792271
BROAD_CAPACITY_MATCHED,5,20260924,False,538,4,0.26378924410262294
BROAD_CAPACITY_MATCHED,5,20260924,True,38,4,0.26223776223776224
BROAD_CAPACITY_MATCHED,5,20260925,False,538,4,0.2377173850657177
BROAD_CAPACITY_MATCHED,5,20260925,True,38,4,0.19930069930069932
BROAD_CAPACITY_MATCHED,5,20260926,False,538,4,0.26510933823107385
BROAD_CAPACITY_MATCHED,5,20260926,True,38,4,0.2097902097902098
BROAD_CAPACITY_MATCHED,6,20260924,False,434,4,0.29560339233226024
BROAD_CAPACITY_MATCHED,6,20260924,True,142,4,0.24476871541299444
BROAD_CAPACITY_MATCHED,6,20260925,False,434,4,0.33226346446819416
BROAD_CAPACITY_MATCHED,6,20260925,True,142,4,0.2650789736626358
BROAD_CAPACITY_MATCHED,6,20260926,False,434,4,0.36288706839610907
BROAD_CAPACITY_MATCHED,6,20260926,True,142,4,0.275777887374462
BROAD_CAPACITY_MATCHED,7,20260924,False,548,4,0.3497231919320145
BROAD_CAPACITY_MATCHED,7,20260924,True,28,4,0.42063492063492064
BROAD_CAPACITY_MATCHED,7,20260925,False,548,4,0.28103688423428186
BROAD_CAPACITY_MATCHED,7,20260925,True,28,4,0.3551587301587302
BROAD_CAPACITY_MATCHED,7,20260926,False,548,4,0.3152259129964621
BROAD_CAPACITY_MATCHED,7,20260926,True,28,4,0.3908730158730159
BROAD_CAPACITY_MATCHED,8,20260924,False,535,4,0.6280536361155903
BROAD_CAPACITY_MATCHED,8,20260924,True,41,4,0.5784090909090909
BROAD_CAPACITY_MATCHED,8,20260925,False,535,4,0.5695381701920217
BROAD_CAPACITY_MATCHED,8,20260925,True,41,4,0.4948863636363636
BROAD_CAPACITY_MATCHED,8,20260926,False,535,4,0.6451838751640055
BROAD_CAPACITY_MATCHED,8,20260926,True,41,4,0.5638257575757576
BROAD_CAPACITY_MATCHED,9,20260924,False,501,4,0.5414323459908735
BROAD_CAPACITY_MATCHED,9,20260924,True,75,4,0.4832544100636206
BROAD_CAPACITY_MATCHED,9,20260925,False,501,4,0.5547619581160365
BROAD_CAPACITY_MATCHED,9,20260925,True,75,4,0.5159955176402545
BROAD_CAPACITY_MATCHED,9,20260926,False,501,4,0.5033834949478487
BROAD_CAPACITY_MATCHED,9,20260926,True,75,4,0.4758079091960671
