training_policy,model,subject,test_stratum,n_test,n_left,n_right,balanced_accuracy,accuracy,macro_f1,cohen_kappa
all_trials,CSP4+shrinkageLDA,6,clean,221,109,112,0.536697247706422,0.5429864253393665,0.412991452991453,0.0743167585949488
all_trials,CSP4+shrinkageLDA,6,flagged,67,35,32,0.5272321428571428,0.5074626865671642,0.40323886639676115,0.05229318474067712
all_trials,CSP4+shrinkageLDA,6,all,288,144,144,0.5347222222222222,0.5347222222222222,0.41098901098901097,0.06944444444444442
all_trials,CSP4+shrinkageLDA,7,clean,273,138,135,0.5669082125603865,0.5714285714285714,0.4809126810004388,0.1350231537899098
all_trials,CSP4+shrinkageLDA,7,flagged,15,6,9,0.6388888888888888,0.6,0.5982142857142857,0.25
all_trials,CSP4+shrinkageLDA,7,all,288,144,144,0.5729166666666666,0.5729166666666666,0.4919032114631593,0.14583333333333337
all_trials,CSP4+shrinkageLDA,8,clean,266,132,134,0.9289914066033469,0.9285714285714286,0.9284004136739059,0.8572558323448003
all_trials,CSP4+shrinkageLDA,8,flagged,22,12,10,0.8583333333333334,0.8636363636363636,0.8610526315789473,0.7226890756302521
all_trials,CSP4+shrinkageLDA,8,all,288,144,144,0.9236111111111112,0.9236111111111112,0.923374613003096,0.8472222222222222
all_trials,CSP4+shrinkageLDA,9,clean,246,118,128,0.6596265889830508,0.6585365853658537,0.6585365853658537,0.3181998152303023
all_trials,CSP4+shrinkageLDA,9,flagged,42,26,16,0.5889423076923077,0.5952380952380952,0.583673469387755,0.17169373549883993
all_trials,CSP4+shrinkageLDA,9,all,288,144,144,0.6493055555555556,0.6493055555555556,0.6490982568309307,0.29861111111111116
all_trials,WelchPSD88+shrinkageLDA,1,clean,279,140,139,0.6413926002055499,0.6415770609318996,0.6405380333951762,0.2828869583097723
all_trials,WelchPSD88+shrinkageLDA,1,flagged,9,4,5,0.675,0.6666666666666666,0.6666666666666666,0.3414634146341463
all_trials,WelchPSD88+shrinkageLDA,1,all,288,144,144,0.6423611111111112,0.6423611111111112,0.6413883146556414,0.2847222222222222
all_trials,WelchPSD88+shrinkageLDA,2,clean,278,138,140,0.4881469979296066,0.4892086330935252,0.47727754237288134,-0.023755186721991617
all_trials,WelchPSD88+shrinkageLDA,2,flagged,10,6,4,0.375,0.4,0.375,-0.25
all_trials,WelchPSD88+shrinkageLDA,2,all,288,144,144,0.4861111111111111,0.4861111111111111,0.4760031471282455,-0.02777777777777768
all_trials,WelchPSD88+shrinkageLDA,3,clean,274,136,138,0.67806905370844,0.6788321167883211,0.6749352890422778,0.35667022411953053
all_trials,WelchPSD88+shrinkageLDA,3,flagged,14,8,6,0.5208333333333333,0.5,0.49743589743589745,0.03921568627450989
all_trials,WelchPSD88+shrinkageLDA,3,all,288,144,144,0.6701388888888888,0.6701388888888888,0.6662722759596502,0.3402777777777778
all_trials,WelchPSD88+shrinkageLDA,4,clean,245,121,124,0.589476139696081,0.5918367346938775,0.5748299319727891,0.17977904251757615
all_trials,WelchPSD88+shrinkageLDA,4,flagged,43,23,20,0.5304347826086957,0.5116279069767442,0.483704974271012,0.05839416058394176
all_trials,WelchPSD88+shrinkageLDA,4,all,288,144,144,0.5798611111111112,0.5798611111111112,0.5614562752475996,0.1597222222222222
all_trials,WelchPSD88+shrinkageLDA,5,clean,264,133,131,0.4892957584801699,0.49242424242424243,0.38579067990832694,-0.021542015593416064
all_trials,WelchPSD88+shrinkageLDA,5,flagged,24,11,13,0.5769230769230769,0.5416666666666666,0.4666666666666667,0.1428571428571428
all_trials,WelchPSD88+shrinkageLDA,5,all,288,144,144,0.4965277777777778,0.4965277777777778,0.39287323902708515,-0.00694444444444442
all_trials,WelchPSD88+shrinkageLDA,6,clean,221,109,112,0.6126720183486238,0.6153846153846154,0.5979668271803102,0.2265409478321735
all_trials,WelchPSD88+shrinkageLDA,6,flagged,67,35,32,0.5566964285714285,0.5522388059701493,0.549731182795699,0.11219081272084819
all_trials,WelchPSD88+shrinkageLDA,6,all,288,144,144,0.6006944444444444,0.6006944444444444,0.5877674470706844,0.20138888888888884
all_trials,WelchPSD88+shrinkageLDA,7,clean,273,138,135,0.5561191626409018,0.5567765567765568,0.5548413179704872,0.11237404272470775
all_trials,WelchPSD88+shrinkageLDA,7,flagged,15,6,9,0.4722222222222222,0.4666666666666667,0.4642857142857143,-0.05263157894736836
all_trials,WelchPSD88+shrinkageLDA,7,all,288,144,144,0.5520833333333334,0.5520833333333334,0.5505172100901337,0.10416666666666663
all_trials,WelchPSD88+shrinkageLDA,8,clean,266,132,134,0.7023405698778833,0.7030075187969925,0.7003607534471203,0.4052080384941976
all_trials,WelchPSD88+shrinkageLDA,8,flagged,22,12,10,0.7333333333333334,0.7272727272727273,0.7272727272727273,0.459016393442623
all_trials,WelchPSD88+shrinkageLDA,8,all,288,144,144,0.7048611111111112,0.7048611111111112,0.7026202942212612,0.4097222222222222
all_trials,WelchPSD88+shrinkageLDA,9,clean,246,118,128,0.5120497881355932,0.5121951219512195,0.5119047619047619,0.024067706955831714
all_trials,WelchPSD88+shrinkageLDA,9,flagged,42,26,16,0.6129807692307692,0.5952380952380952,0.5931623931623932,0.20842572062084253
all_trials,WelchPSD88+shrinkageLDA,9,all,288,144,144,0.5243055555555556,0.5243055555555556,0.5242539338035811,0.04861111111111116
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,1,clean,279,140,139,0.6335046248715314,0.6344086021505376,0.6090934065934066,0.2674903474903475
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,1,flagged,9,4,5,0.675,0.6666666666666666,0.6666666666666666,0.3414634146341463
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,1,all,288,144,144,0.6354166666666666,0.6354166666666666,0.6118249618114835,0.27083333333333337
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,2,clean,278,138,140,0.5382505175983436,0.5359712230215827,0.4855913361543427,0.07615023957957645
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,2,flagged,10,6,4,0.625,0.7,0.6000000000000001,0.2857142857142857
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,2,all,288,144,144,0.5416666666666667,0.5416666666666666,0.48958109559613316,0.08333333333333337
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,3,clean,274,136,138,0.7785592497868712,0.7773722627737226,0.7717508569243585,0.5557858927337479
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,3,flagged,14,8,6,0.6041666666666666,0.6428571428571429,0.5906432748538011,0.2222222222222222
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,3,all,288,144,144,0.7708333333333333,0.7708333333333334,0.7642857142857142,0.5416666666666667
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,4,clean,245,121,124,0.6222340709144227,0.6244897959183674,0.6101425211014252,0.2455482661668229
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,4,flagged,43,23,20,0.5989130434782608,0.5813953488372093,0.5622171945701357,0.19037656903765676
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,4,all,288,144,144,0.6180555555555556,0.6180555555555556,0.603047313552526,0.23611111111111116
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,5,clean,264,133,131,0.5242208574872295,0.5265151515151515,0.47731052506533617,0.04866236162361637
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,5,flagged,24,11,13,0.6538461538461539,0.625,0.5901328273244781,0.2894736842105263
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,5,all,288,144,144,0.5347222222222222,0.5347222222222222,0.4868085106382979,0.06944444444444442
expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,6,clean,221,109,112,0.5878931847968545,0.5927601809954751,0.5295648060548723,0.1774873873128774
