fold_id,training_policy,model,n_train,n_test_clean,n_test_flagged,n_features,csp_fit_transform_seconds_shared,classifier_seconds,balanced_accuracy,accuracy,macro_f1,cohen_kappa
loso_s3,all_trials,CSP4+shrinkageLDA,2304,274,14,4,3.0244218000007095,0.008444599996437319,0.6774829497016198,0.6751824817518248,0.6405948327953899,0.3533280297003447
loso_s3,all_trials,WelchPSD88+shrinkageLDA,2304,274,14,88,3.0244218000007095,0.012392700009513646,0.67806905370844,0.6788321167883211,0.6749352890422778,0.35667022411953053
loso_s3,all_trials,CSP4+WelchPSD88+shrinkageLDA,2304,274,14,92,3.0244218000007095,0.02258649999566842,0.7387041773231031,0.7372262773722628,0.7266075388026607,0.4759881002974926
loso_s4,expert_clean_only,CSP4+shrinkageLDA,2101,245,43,4,2.766097900006571,0.007692500003031455,0.628465742468675,0.6285714285714286,0.6284723958072955,0.256957173804366
loso_s4,expert_clean_only,WelchPSD88+shrinkageLDA,2101,245,43,88,2.766097900006571,0.020408900003531016,0.5901759530791789,0.5918367346938775,0.5833333333333334,0.1809307301417491
loso_s4,expert_clean_only,CSP4+WelchPSD88+shrinkageLDA,2101,245,43,92,2.766097900006571,0.04493830000865273,0.6222340709144227,0.6244897959183674,0.6101425211014252,0.2455482661668229
loso_s4,all_trials,CSP4+shrinkageLDA,2304,245,43,4,4.748218199994881,0.007576500007417053,0.629365502532658,0.6285714285714286,0.6273546273546273,0.2582920256828237
loso_s4,all_trials,WelchPSD88+shrinkageLDA,2304,245,43,88,4.748218199994881,0.02451899999869056,0.589476139696081,0.5918367346938775,0.5748299319727891,0.17977904251757615
loso_s4,all_trials,CSP4+WelchPSD88+shrinkageLDA,2304,245,43,92,4.748218199994881,0.022568200001842342,0.6094374833377766,0.6122448979591837,0.5892236282451775,0.22008511208658643
loso_s5,expert_clean_only,CSP4+shrinkageLDA,2082,264,24,4,3.8388515999977244,0.007755800004815683,0.5254261608219021,0.5265151515151515,0.5159515951595159,0.050960542965604594
