fold,subject,model,stratum,true_label,predicted_label,count
loso_s1,1,FBCSP_MI8_LDA,flagged,3,4,0
loso_s1,1,FBCSP_MI8_LDA,flagged,4,1,4
loso_s1,1,FBCSP_MI8_LDA,flagged,4,2,1
loso_s1,1,FBCSP_MI8_LDA,flagged,4,3,1
loso_s1,1,FBCSP_MI8_LDA,flagged,4,4,0
loso_s2,2,BroadCSP_LDA,all,1,1,10
loso_s2,2,BroadCSP_LDA,all,1,2,63
loso_s2,2,BroadCSP_LDA,all,1,3,67
loso_s2,2,BroadCSP_LDA,all,1,4,4
loso_s2,2,BroadCSP_LDA,all,2,1,13
loso_s2,2,BroadCSP_LDA,all,2,2,81
loso_s2,2,BroadCSP_LDA,all,2,3,49
loso_s2,2,BroadCSP_LDA,all,2,4,1
loso_s2,2,BroadCSP_LDA,all,3,1,8
loso_s2,2,BroadCSP_LDA,all,3,2,52
loso_s2,2,BroadCSP_LDA,all,3,3,70
loso_s2,2,BroadCSP_LDA,all,3,4,14
loso_s2,2,BroadCSP_LDA,all,4,1,16
loso_s2,2,BroadCSP_LDA,all,4,2,56
loso_s2,2,BroadCSP_LDA,all,4,3,62
loso_s2,2,BroadCSP_LDA,all,4,4,10
loso_s2,2,BroadCSP_LDA,unflagged,1,1,10
loso_s2,2,BroadCSP_LDA,unflagged,1,2,60
loso_s2,2,BroadCSP_LDA,unflagged,1,3,64
loso_s2,2,BroadCSP_LDA,unflagged,1,4,4
loso_s2,2,BroadCSP_LDA,unflagged,2,1,13
loso_s2,2,BroadCSP_LDA,unflagged,2,2,79
loso_s2,2,BroadCSP_LDA,unflagged,2,3,47
loso_s2,2,BroadCSP_LDA,unflagged,2,4,1
loso_s2,2,BroadCSP_LDA,unflagged,3,1,7
loso_s2,2,BroadCSP_LDA,unflagged,3,2,50
loso_s2,2,BroadCSP_LDA,unflagged,3,3,64
loso_s2,2,BroadCSP_LDA,unflagged,3,4,14
loso_s2,2,BroadCSP_LDA,unflagged,4,1,16
loso_s2,2,BroadCSP_LDA,unflagged,4,2,54
loso_s2,2,BroadCSP_LDA,unflagged,4,3,60
loso_s2,2,BroadCSP_LDA,unflagged,4,4,10
loso_s2,2,BroadCSP_LDA,flagged,1,1,0
loso_s2,2,BroadCSP_LDA,flagged,1,2,3
loso_s2,2,BroadCSP_LDA,flagged,1,3,3
loso_s2,2,BroadCSP_LDA,flagged,1,4,0
loso_s2,2,BroadCSP_LDA,flagged,2,1,0
loso_s2,2,BroadCSP_LDA,flagged,2,2,2
loso_s2,2,BroadCSP_LDA,flagged,2,3,2
loso_s2,2,BroadCSP_LDA,flagged,2,4,0
loso_s2,2,BroadCSP_LDA,flagged,3,1,1
loso_s2,2,BroadCSP_LDA,flagged,3,2,2
loso_s2,2,BroadCSP_LDA,flagged,3,3,6
loso_s2,2,BroadCSP_LDA,flagged,3,4,0
loso_s2,2,BroadCSP_LDA,flagged,4,1,0
loso_s2,2,BroadCSP_LDA,flagged,4,2,2
loso_s2,2,BroadCSP_LDA,flagged,4,3,2
loso_s2,2,BroadCSP_LDA,flagged,4,4,0
loso_s2,2,BroadCSP_SVM,all,1,1,11
loso_s2,2,BroadCSP_SVM,all,1,2,59
loso_s2,2,BroadCSP_SVM,all,1,3,74
loso_s2,2,BroadCSP_SVM,all,1,4,0
loso_s2,2,BroadCSP_SVM,all,2,1,10
loso_s2,2,BroadCSP_SVM,all,2,2,69
loso_s2,2,BroadCSP_SVM,all,2,3,64
loso_s2,2,BroadCSP_SVM,all,2,4,1
