fold,subject,model,stratum,n_train,n_test,n_classes_present,balanced_accuracy,accuracy,macro_f1,macro_precision,macro_recall,cohen_kappa
loso_s7,7,BroadCSP_LDA,unflagged,4608,548,4,0.27103917627560914,0.27007299270072993,0.2256684983689931,0.5019222208579115,0.27103917627560914,0.02774820807607692
loso_s7,7,BroadCSP_LDA,flagged,4608,28,4,0.20833333333333331,0.25,0.14444444444444443,0.1111111111111111,0.20833333333333331,-0.0462633451957295
loso_s7,7,BroadCSP_SVM,all,4608,576,4,0.2621527777777778,0.2621527777777778,0.20612492259374499,0.48105682397703375,0.2621527777777778,0.01620370370370372
loso_s7,7,BroadCSP_SVM,unflagged,4608,548,4,0.26249191908506414,0.26094890510948904,0.20762467031136725,0.4913117919845127,0.26249191908506414,0.01618415628283043
loso_s7,7,BroadCSP_SVM,flagged,4608,28,4,0.2361111111111111,0.2857142857142857,0.15915119363395225,0.1232142857142857,0.2361111111111111,-0.007194244604316724
loso_s7,7,FBCSP_LDA,all,4608,576,4,0.3125,0.3125,0.2956073333176253,0.3537930199936779,0.3125,0.08333333333333337
loso_s7,7,FBCSP_LDA,unflagged,4608,548,4,0.30862600937973833,0.3083941605839416,0.29111253667215387,0.3457811388233532,0.30862600937973833,0.07798578525164368
loso_s7,7,FBCSP_LDA,flagged,4608,28,4,0.3829365079365079,0.39285714285714285,0.3718395252837977,0.547275641025641,0.3829365079365079,0.19458544839255487
loso_s7,7,FBCSP_MI8_LDA,all,4608,576,4,0.3263888888888889,0.3263888888888889,0.28019131531448144,0.39002750721500723,0.3263888888888889,0.10185185185185186
loso_s7,7,FBCSP_MI8_LDA,unflagged,4608,548,4,0.32421894284001557,0.32299270072992703,0.27699403429861313,0.3875537386764931,0.32421894284001557,0.09929913787756617
loso_s7,7,FBCSP_MI8_LDA,flagged,4608,28,4,0.3551587301587302,0.39285714285714285,0.3310185185185185,0.4305555555555556,0.3551587301587302,0.15000000000000002
loso_s8,8,BroadCSP_LDA,all,4608,576,4,0.5833333333333334,0.5833333333333334,0.5825594066366704,0.6484172077922077,0.5833333333333334,0.4444444444444444
loso_s8,8,BroadCSP_LDA,unflagged,4608,535,4,0.5895907584629224,0.5906542056074766,0.5888078234396272,0.6506524876090094,0.5895907584629224,0.4533863315091884
loso_s8,8,BroadCSP_LDA,flagged,4608,41,4,0.4965909090909091,0.4878048780487805,0.4895238095238095,0.620187165775401,0.4965909090909091,0.3320403413498836
loso_s8,8,BroadCSP_SVM,all,4608,576,4,0.5451388888888888,0.5451388888888888,0.5292477474737607,0.6409442435027047,0.5451388888888888,0.3935185185185185
loso_s8,8,BroadCSP_SVM,unflagged,4608,535,4,0.5461933202188967,0.5476635514018692,0.5290231874574589,0.6405372382471796,0.5461933202188967,0.39573133450636855
loso_s8,8,BroadCSP_SVM,flagged,4608,41,4,0.5193181818181818,0.5121951219512195,0.508008658008658,0.6306818181818181,0.5193181818181818,0.3623639191290825
loso_s8,8,FBCSP_LDA,all,4608,576,4,0.4565972222222222,0.4565972222222222,0.4233169639171892,0.6448865650478555,0.4565972222222222,0.2754629629629629
loso_s8,8,FBCSP_LDA,unflagged,4608,535,4,0.4608929714140887,0.4635514018691589,0.4298378637858884,0.6458957708957709,0.4608929714140887,0.2830360478147179
loso_s8,8,FBCSP_LDA,flagged,4608,41,4,0.4011363636363636,0.36585365853658536,0.34077380952380953,0.40865384615384615,0.4011363636363636,0.18376722817764168
loso_s8,8,FBCSP_MI8_LDA,all,4608,576,4,0.3767361111111111,0.3767361111111111,0.3172435785714105,0.47577014488779196,0.3767361111111111,0.1689814814814815
loso_s8,8,FBCSP_MI8_LDA,unflagged,4608,535,4,0.3780886113639914,0.3794392523364486,0.31910908702206253,0.4759360522518417,0.3780886113639914,0.17151372958752942
loso_s8,8,FBCSP_MI8_LDA,flagged,4608,41,4,0.3534090909090909,0.34146341463414637,0.2884217232043319,0.24679487179487178,0.3534090909090909,0.13852140077821018
loso_s9,9,BroadCSP_LDA,all,4608,576,4,0.5555555555555556,0.5555555555555556,0.5338882486760108,0.6310488639900403,0.5555555555555556,0.40740740740740744
loso_s9,9,BroadCSP_LDA,unflagged,4608,501,4,0.5675137304432855,0.5668662674650699,0.5469599983537936,0.6427696078431372,0.5675137304432855,0.4221207562815271
loso_s9,9,BroadCSP_LDA,flagged,4608,75,4,0.5128325621746674,0.48,0.45952101661779077,0.5447697489848652,0.5128325621746674,0.3130577736026303
loso_s9,9,BroadCSP_SVM,all,4608,576,4,0.53125,0.53125,0.5078118140042938,0.6028405924921654,0.53125,0.375
loso_s9,9,BroadCSP_SVM,unflagged,4608,501,4,0.5401265686114732,0.5409181636726547,0.5199930637822696,0.6093300719243101,0.5401265686114732,0.3869668612043603
loso_s9,9,BroadCSP_SVM,flagged,4608,75,4,0.5032171775592829,0.4666666666666667,0.43786290322580645,0.5488372093023256,0.5032171775592829,0.29939280709948624
loso_s9,9,FBCSP_LDA,all,4608,576,4,0.39583333333333337,0.3958333333333333,0.349465769399556,0.5262726647371512,0.39583333333333337,0.19444444444444442
