experiment,subject,fold,selected_epoch,selected_mean_val_ce,selected_fold_sd,selected_fold_sem,selected_mean_train_ce,second_best_mean_val_ce,margin_to_second_best,early_selection_le_2,early_selection_le_5,boundary_epoch_40,inner_optimum_epoch_1,inner_optimum_epoch_2,inner_optimum_epoch_3,inner_optimum_epoch_4,inner_optimum_epoch_mean,inner_optimum_epoch_median,inner_optimum_epoch_std,inner_optimum_epoch_min,inner_optimum_epoch_max,inner_optimum_epoch_range,inner_optimum_epoch_iqr,inner_optima_within_selected_pm2,inner_optima_within_selected_pm5,selected_fold_regret_mean,selected_fold_regret_max,near_min_001_count,near_min_001_earliest,near_min_001_latest,near_min_001_span,near_min_0025_count,near_min_0025_earliest,near_min_0025_latest,near_min_0025_span,near_min_005_count,near_min_005_earliest,near_min_005_latest,near_min_005_span,near_min_01_count,near_min_01_earliest,near_min_01_latest,near_min_01_span,mean_val_ce_epoch_1,delta_ce_epoch_1_minus_selected,mean_val_ce_epoch_2,delta_ce_epoch_2_minus_selected,mean_val_ce_epoch_4,delta_ce_epoch_4_minus_selected,mean_val_ce_epoch_8,delta_ce_epoch_8_minus_selected,mean_val_ce_epoch_12,delta_ce_epoch_12_minus_selected,mean_val_ce_epoch_16,delta_ce_epoch_16_minus_selected,mean_val_ce_epoch_20,delta_ce_epoch_20_minus_selected,mean_val_ce_epoch_24,delta_ce_epoch_24_minus_selected,mean_val_ce_epoch_32,delta_ce_epoch_32_minus_selected,mean_val_ce_epoch_40,delta_ce_epoch_40_minus_selected
Q6,3,loso_s3,16,1.3858868189983897,0.10992779658764366,0.05496389829382183,1.0620788390989657,1.386618357565668,0.000731538567278367,False,False,False,24,1,6,19,12.5,12.5,10.785793124908958,1,24,23,15.5,0,1,0.08522915426227778,0.15171216593848325,2,1,16,15,3,1,16,15,4,1,16,15,5,1,16,15,1.386618357565668,0.000731538567278367,1.3883044868707657,0.0024176678723759615,1.3984572771522734,0.01257045815388369,1.441049627131886,0.05516280813349628,1.3944987472560673,0.008611928257677537,1.3858868189983897,0.0,1.4614328145980833,0.07554599559969355,1.431344647374418,0.0454578283760283,1.493203163974815,0.10731634497642517,1.5301535005370777,0.14426668153868794
Q6,4,loso_s4,10,1.29669575062063,0.14554765585681173,0.07277382792840587,1.0480258230257917,1.3091844096779823,0.012488659057352303,False,False,False,13,34,5,12,16.0,12.5,12.516655570345725,5,34,29,8.0,1,3,0.06141018288003075,0.10232149230109333,1,10,10,0,1,10,10,0,1,10,10,0,1,10,10,0,1.386252981093195,0.08955723047256492,1.3889131016201444,0.09221735099951434,1.385326029525863,0.0886302789052329,1.4313459114895928,0.13465016086896275,1.3091844096779823,0.012488659057352303,1.324200904203786,0.02750515358315586,1.4654724482032988,0.16877669758266878,1.4749717306759622,0.17827598005533218,1.4555694634715715,0.15887371285094143,1.500350039038393,0.203654288417763
Q6,5,loso_s5,12,1.2870785709884431,0.23200224193313393,0.11600112096656696,0.9749981559537075,1.30720985846387,0.020131287475426918,False,False,False,19,36,1,7,15.75,13.0,15.435349040433131,1,36,35,17.75,0,1,0.10885717471440629,0.2288038730621338,1,12,12,0,1,12,12,0,1,12,12,0,1,12,12,0,1.3867422689994175,0.09966369801097441,1.3981857150793076,0.11110714409086442,1.4583707865741518,0.17129221558570862,1.4207686649428473,0.13369009395440412,1.2870785709884431,0.0,1.3268516593509252,0.039773088362482056,1.4324179266889892,0.145339355700546,1.4563038589225874,0.16922528793414426,1.531873809794585,0.24479523880614185,1.4910045729743109,0.20392600198586774
Q6,6,loso_s6,7,1.347365361948808,0.22713220708683912,0.11356610354341956,1.081808450045409,1.378109711739752,0.030744349790944092,False,False,False,16,28,1,5,12.5,10.5,12.12435565298214,1,28,27,15.0,1,1,0.13137496097220308,0.2883780399958291,1,7,7,0,1,7,7,0,1,7,7,0,1,7,7,0,1.3853261818488438,0.03796081990003586,1.3896471063296,0.04228174438079213,1.4100415971544054,0.0626762352055974,1.4465447275174987,0.09917936556869078,1.504094894561503,0.15672953261269496,1.5172955575916502,0.16993019564284229,1.525946003695329,0.178580641746521,1.5287995098365676,0.1814341478877597,1.7163202067216239,0.3689548447728159,1.492952029738161,0.14558666778935314
Q6,7,loso_s7,6,1.3167528948850102,0.1788619265675301,0.08943096328376506,1.1379914785976764,1.3196901447243161,0.0029372498393058777,False,False,False,15,16,1,23,13.75,15.5,9.215023964519391,1,23,22,6.25,0,1,0.11407834788163507,0.19111086262596988,1,6,6,0,1,6,6,0,2,6,7,1,2,6,7,1,1.386416592531734,0.06966369764672375,1.3899758011102674,0.07322290622525718,1.392416586478551,0.0756636915935407,1.355629351403978,0.03887645651896765,1.4122391094764075,0.09548621459139728,1.3867092091176245,0.06995631423261428,1.4232473439640467,0.10649444907903649,1.5443626311090257,0.22760973622401548,1.4998310688469145,0.1830781739619043,1.5972037108408081,0.2804508159557979
Q6,8,loso_s8,1,1.3862125989463594,0.0031834042330421367,0.0015917021165210684,1.3829066808576935,1.3929887480205958,0.006776149074236404,True,True,False,17,28,1,26,18.0,21.5,12.30176139149729,1,28,27,13.5,1,1,0.1464711874723434,0.3092044393221536,1,1,1,0,1,1,1,0,1,1,1,0,2,1,2,1,1.3862125989463594,0.0,1.3929887480205958,0.006776149074236404,1.4191515180799694,0.03293891913361002,1.4404171150591636,0.05420451611280419,1.505518534117275,0.11930593517091559,1.4959792105687988,0.10976661162243939,1.5306752042637932,0.14446260531743382,1.5911961297194162,0.20498353077305675,1.620697277287642,0.23448467834128262,1.641186883880032,0.2549742849336727
Q6,9,loso_s9,7,1.3325159524877865,0.20231129557730182,0.10115564778865091,1.1708725917118568,1.3617459668053522,0.029230014317565667,False,False,False,13,15,1,23,13.0,14.0,9.092121131323903,1,23,22,7.0,0,0,0.1089550165666473,0.24158336056603313,1,7,7,0,1,7,7,0,1,7,7,0,1,7,7,0,1.3864502211411793,0.05393426865339279,1.390736578239335,0.058220625751548516,1.3980927699142032,0.06557681742641663,1.3617459668053522,0.029230014317565667,1.4265361560715568,0.09402020358377028,1.553221465812789,0.22070551332500243,1.558202853633298,0.22568690114551138,1.6902974579069348,0.3577815054191482,1.6707955963081782,0.33827964382039166,1.7637539820538628,0.43123802956607626
