fold,subject,seed,stratum,true_label,predicted_label,count,selection_rule,selected_epochs,model
loso_s1,1,20260926,flagged,2,1,1,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,2,2,4,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,2,3,0,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,2,4,0,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,3,1,3,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,3,2,1,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,3,3,3,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,3,4,0,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,4,1,2,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,4,2,1,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,4,3,2,mean_rank,27,EEGNet
loso_s1,1,20260926,flagged,4,4,1,mean_rank,27,EEGNet
loso_s2,2,20260924,all,1,1,129,mean_rank,13,EEGNet
loso_s2,2,20260924,all,1,2,9,mean_rank,13,EEGNet
loso_s2,2,20260924,all,1,3,6,mean_rank,13,EEGNet
loso_s2,2,20260924,all,1,4,0,mean_rank,13,EEGNet
loso_s2,2,20260924,all,2,1,118,mean_rank,13,EEGNet
loso_s2,2,20260924,all,2,2,21,mean_rank,13,EEGNet
loso_s2,2,20260924,all,2,3,5,mean_rank,13,EEGNet
loso_s2,2,20260924,all,2,4,0,mean_rank,13,EEGNet
loso_s2,2,20260924,all,3,1,121,mean_rank,13,EEGNet
loso_s2,2,20260924,all,3,2,14,mean_rank,13,EEGNet
loso_s2,2,20260924,all,3,3,6,mean_rank,13,EEGNet
loso_s2,2,20260924,all,3,4,3,mean_rank,13,EEGNet
loso_s2,2,20260924,all,4,1,127,mean_rank,13,EEGNet
loso_s2,2,20260924,all,4,2,9,mean_rank,13,EEGNet
loso_s2,2,20260924,all,4,3,7,mean_rank,13,EEGNet
loso_s2,2,20260924,all,4,4,1,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,1,1,123,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,1,2,9,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,1,3,6,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,1,4,0,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,2,1,116,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,2,2,20,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,2,3,4,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,2,4,0,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,3,1,113,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,3,2,14,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,3,3,5,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,3,4,3,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,4,1,123,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,4,2,9,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,4,3,7,mean_rank,13,EEGNet
loso_s2,2,20260924,unflagged,4,4,1,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,1,1,6,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,1,2,0,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,1,3,0,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,1,4,0,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,2,1,2,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,2,2,1,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,2,3,1,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,2,4,0,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,3,1,8,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,3,2,0,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,3,3,1,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,3,4,0,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,4,1,4,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,4,2,0,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,4,3,0,mean_rank,13,EEGNet
loso_s2,2,20260924,flagged,4,4,0,mean_rank,13,EEGNet
loso_s2,2,20260925,all,1,1,23,mean_rank,13,EEGNet
loso_s2,2,20260925,all,1,2,5,mean_rank,13,EEGNet
loso_s2,2,20260925,all,1,3,116,mean_rank,13,EEGNet
loso_s2,2,20260925,all,1,4,0,mean_rank,13,EEGNet
loso_s2,2,20260925,all,2,1,12,mean_rank,13,EEGNet
loso_s2,2,20260925,all,2,2,11,mean_rank,13,EEGNet
loso_s2,2,20260925,all,2,3,121,mean_rank,13,EEGNet
loso_s2,2,20260925,all,2,4,0,mean_rank,13,EEGNet
loso_s2,2,20260925,all,3,1,17,mean_rank,13,EEGNet
loso_s2,2,20260925,all,3,2,6,mean_rank,13,EEGNet
loso_s2,2,20260925,all,3,3,113,mean_rank,13,EEGNet
loso_s2,2,20260925,all,3,4,8,mean_rank,13,EEGNet
loso_s2,2,20260925,all,4,1,17,mean_rank,13,EEGNet
loso_s2,2,20260925,all,4,2,6,mean_rank,13,EEGNet
loso_s2,2,20260925,all,4,3,116,mean_rank,13,EEGNet
loso_s2,2,20260925,all,4,4,5,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,1,1,23,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,1,2,5,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,1,3,110,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,1,4,0,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,2,1,12,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,2,2,9,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,2,3,119,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,2,4,0,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,3,1,16,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,3,2,6,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,3,3,105,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,3,4,8,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,4,1,15,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,4,2,6,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,4,3,114,mean_rank,13,EEGNet
loso_s2,2,20260925,unflagged,4,4,5,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,1,1,0,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,1,2,0,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,1,3,6,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,1,4,0,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,2,1,0,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,2,2,2,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,2,3,2,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,2,4,0,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,3,1,1,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,3,2,0,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,3,3,8,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,3,4,0,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,4,1,2,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,4,2,0,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,4,3,2,mean_rank,13,EEGNet
loso_s2,2,20260925,flagged,4,4,0,mean_rank,13,EEGNet
loso_s2,2,20260926,all,1,1,93,mean_rank,13,EEGNet
loso_s2,2,20260926,all,1,2,17,mean_rank,13,EEGNet
loso_s2,2,20260926,all,1,3,34,mean_rank,13,EEGNet
loso_s2,2,20260926,all,1,4,0,mean_rank,13,EEGNet
loso_s2,2,20260926,all,2,1,78,mean_rank,13,EEGNet
loso_s2,2,20260926,all,2,2,22,mean_rank,13,EEGNet
loso_s2,2,20260926,all,2,3,44,mean_rank,13,EEGNet
loso_s2,2,20260926,all,2,4,0,mean_rank,13,EEGNet
loso_s2,2,20260926,all,3,1,69,mean_rank,13,EEGNet
loso_s2,2,20260926,all,3,2,18,mean_rank,13,EEGNet
loso_s2,2,20260926,all,3,3,56,mean_rank,13,EEGNet
loso_s2,2,20260926,all,3,4,1,mean_rank,13,EEGNet
