fold,subject,stage,inner_fold,seed,selected_epochs,selection_rule,epoch,train_ce,val_ce
loso_s3,3,full,,20260924,10,mean_rank,6,1.177628431055281,
loso_s3,3,full,,20260924,10,mean_rank,7,1.145614390571912,
loso_s3,3,full,,20260924,10,mean_rank,8,1.14772040479713,
loso_s3,3,full,,20260924,10,mean_rank,9,1.1308785908752017,
loso_s3,3,full,,20260924,10,mean_rank,10,1.1123449206352234,
loso_s3,3,full,,20260925,10,mean_rank,1,1.379951195584403,
loso_s3,3,full,,20260925,10,mean_rank,2,1.3358286718527477,
loso_s3,3,full,,20260925,10,mean_rank,3,1.2931169735060797,
loso_s3,3,full,,20260925,10,mean_rank,4,1.2386132429043453,
loso_s3,3,full,,20260925,10,mean_rank,5,1.212510335776541,
loso_s3,3,full,,20260925,10,mean_rank,6,1.187013515167766,
loso_s3,3,full,,20260925,10,mean_rank,7,1.170056790113449,
loso_s3,3,full,,20260925,10,mean_rank,8,1.1517990943458345,
loso_s3,3,full,,20260925,10,mean_rank,9,1.1369266327884462,
loso_s3,3,full,,20260925,10,mean_rank,10,1.1344283256265852,
loso_s3,3,full,,20260926,10,mean_rank,1,1.3827444911003113,
loso_s3,3,full,,20260926,10,mean_rank,2,1.3450617111391492,
loso_s3,3,full,,20260926,10,mean_rank,3,1.2903298685948057,
loso_s3,3,full,,20260926,10,mean_rank,4,1.2347600294484034,
loso_s3,3,full,,20260926,10,mean_rank,5,1.2035206158955891,
loso_s3,3,full,,20260926,10,mean_rank,6,1.1826672322220273,
loso_s3,3,full,,20260926,10,mean_rank,7,1.1463070048226252,
loso_s3,3,full,,20260926,10,mean_rank,8,1.1331565057237942,
loso_s3,3,full,,20260926,10,mean_rank,9,1.1161437349187002,
loso_s3,3,full,,20260926,10,mean_rank,10,1.1115122321579192,
loso_s4,4,full,,20260924,10,mean_rank,1,1.373650050825543,
loso_s4,4,full,,20260924,10,mean_rank,2,1.3032614654964871,
loso_s4,4,full,,20260924,10,mean_rank,3,1.2205788244803746,
