fold,subject,k,model,stratum,n_train,n_test,balanced_accuracy,accuracy,macro_f1,cohen_kappa
loso_s6,6,16,FBCSP_MI16_LDA,flagged,4608,142,0.2640810745029719,0.2746478873239437,0.21919879062736203,0.017466075507187928
loso_s6,6,32,FBCSP_MI32_LDA,all,4608,576,0.265625,0.265625,0.22000278628774858,0.02083333333333337
loso_s6,6,32,FBCSP_MI32_LDA,unflagged,4608,434,0.2812325979000068,0.2764976958525346,0.23077534220380508,0.041491120098470224
loso_s6,6,32,FBCSP_MI32_LDA,flagged,4608,142,0.21983724892395984,0.2323943661971831,0.18522650439486138,-0.042500168384185466
loso_s6,6,72,FBCSP_MI72_LDA,all,4608,576,0.3611111111111111,0.3611111111111111,0.29144180678390913,0.14814814814814814
loso_s6,6,72,FBCSP_MI72_LDA,unflagged,4608,434,0.3782587077014017,0.37327188940092165,0.2975394529396458,0.16773829667230677
loso_s6,6,72,FBCSP_MI72_LDA,flagged,4608,142,0.309440331010453,0.323943661971831,0.26957710409745295,0.08485499462943069
loso_s7,7,8,FBCSP_MI8_LDA,all,4608,576,0.3263888888888889,0.3263888888888889,0.28019131531448144,0.10185185185185186
loso_s7,7,8,FBCSP_MI8_LDA,unflagged,4608,548,0.32421894284001557,0.32299270072992703,0.27699403429861313,0.09929913787756617
loso_s7,7,8,FBCSP_MI8_LDA,flagged,4608,28,0.3551587301587302,0.39285714285714285,0.3310185185185185,0.15000000000000002
loso_s7,7,16,FBCSP_MI16_LDA,all,4608,576,0.3541666666666667,0.3541666666666667,0.3313158733677377,0.13888888888888884
loso_s7,7,16,FBCSP_MI16_LDA,unflagged,4608,548,0.3598105245836125,0.3594890510948905,0.33510874150346975,0.146197688251274
loso_s7,7,16,FBCSP_MI16_LDA,flagged,4608,28,0.23214285714285715,0.25,0.2375408496732026,-0.00512820512820511
loso_s7,7,32,FBCSP_MI32_LDA,all,4608,576,0.3784722222222222,0.3784722222222222,0.36408789469808284,0.17129629629629628
loso_s7,7,32,FBCSP_MI32_LDA,unflagged,4608,548,0.378524160466401,0.3777372262773723,0.3628474117767936,0.17121416406471757
loso_s7,7,32,FBCSP_MI32_LDA,flagged,4608,28,0.376984126984127,0.39285714285714285,0.38257575757575757,0.17217391304347818
loso_s7,7,72,FBCSP_MI72_LDA,all,4608,576,0.3125,0.3125,0.2956073333176253,0.08333333333333337
loso_s7,7,72,FBCSP_MI72_LDA,unflagged,4608,548,0.30862600937973833,0.3083941605839416,0.29111253667215387,0.07798578525164368
loso_s7,7,72,FBCSP_MI72_LDA,flagged,4608,28,0.3829365079365079,0.39285714285714285,0.3718395252837977,0.19458544839255487
loso_s8,8,8,FBCSP_MI8_LDA,all,4608,576,0.3767361111111111,0.3767361111111111,0.3172435785714105,0.1689814814814815
loso_s8,8,8,FBCSP_MI8_LDA,unflagged,4608,535,0.3780886113639914,0.3794392523364486,0.31910908702206253,0.17151372958752942
loso_s8,8,8,FBCSP_MI8_LDA,flagged,4608,41,0.3534090909090909,0.34146341463414637,0.2884217232043319,0.13852140077821018
loso_s8,8,16,FBCSP_MI16_LDA,all,4608,576,0.4461805555555556,0.4461805555555556,0.4039383502164704,0.26157407407407407
loso_s8,8,16,FBCSP_MI16_LDA,unflagged,4608,535,0.4503497937416772,0.4523364485981308,0.4102364387477284,0.26892457221209143
loso_s8,8,16,FBCSP_MI16_LDA,flagged,4608,41,0.3909090909090909,0.36585365853658536,0.31857142857142856,0.16978193146417442
loso_s8,8,32,FBCSP_MI32_LDA,all,4608,576,0.484375,0.484375,0.48294727704678364,0.3125
loso_s8,8,32,FBCSP_MI32_LDA,unflagged,4608,535,0.48894931553282606,0.4897196261682243,0.488952775006996,0.31960160439017793
loso_s8,8,32,FBCSP_MI32_LDA,flagged,4608,41,0.4109848484848485,0.4146341463414634,0.3873212442871885,0.2153110047846889
loso_s8,8,72,FBCSP_MI72_LDA,all,4608,576,0.4565972222222222,0.4565972222222222,0.4233169639171892,0.2754629629629629
loso_s8,8,72,FBCSP_MI72_LDA,unflagged,4608,535,0.4608929714140887,0.4635514018691589,0.4298378637858884,0.2830360478147179
loso_s8,8,72,FBCSP_MI72_LDA,flagged,4608,41,0.4011363636363636,0.36585365853658536,0.34077380952380953,0.18376722817764168
loso_s9,9,8,FBCSP_MI8_LDA,all,4608,576,0.3090277777777778,0.3090277777777778,0.24324751040452994,0.07870370370370372
loso_s9,9,8,FBCSP_MI8_LDA,unflagged,4608,501,0.31242321952411994,0.313373253493014,0.2504549364155275,0.0821145918769507
loso_s9,9,8,FBCSP_MI8_LDA,flagged,4608,75,0.2846388808559861,0.28,0.19542637086133358,0.057920446615492005
loso_s9,9,16,FBCSP_MI16_LDA,all,4608,576,0.29166666666666663,0.2916666666666667,0.20643177040894078,0.05555555555555558
loso_s9,9,16,FBCSP_MI16_LDA,unflagged,4608,501,0.29448213412646673,0.2954091816367265,0.21279195632224024,0.05846620704341565
loso_s9,9,16,FBCSP_MI16_LDA,flagged,4608,75,0.27032424812030076,0.26666666666666666,0.16101953601953603,0.035313376987839096
loso_s9,9,32,FBCSP_MI32_LDA,all,4608,576,0.453125,0.453125,0.42964277501166676,0.27083333333333337
loso_s9,9,32,FBCSP_MI32_LDA,unflagged,4608,501,0.461792800684485,0.46107784431137727,0.4422481952954056,0.2806662093390553
loso_s9,9,32,FBCSP_MI32_LDA,flagged,4608,75,0.417473973395026,0.4,0.3545562784368754,0.2086752637749122
loso_s9,9,72,FBCSP_MI72_LDA,all,4608,576,0.39583333333333337,0.3958333333333333,0.349465769399556,0.19444444444444442
loso_s9,9,72,FBCSP_MI72_LDA,unflagged,4608,501,0.4027052640156454,0.40119760479041916,0.36074525208512137,0.20134755993878595
loso_s9,9,72,FBCSP_MI72_LDA,flagged,4608,75,0.36967719780219777,0.36,0.286984126984127,0.15848527349228614
